register,entry,lemma,reading,witnesses,source,resp,cert,type,isLemma
critical,ldlt-balex:0.1.1.0.1.1.0,"cotidie
                           operibus","cotidie
                           operibus",U S T V,,,,,true
critical,ldlt-balex:0.1.1.0.1.1.0,"cotidie
                           operibus",cotidie,M,,,,,false
critical,ldlt-balex:0.1.1.0.1.1.0,"cotidie
                           operibus","nouis
                           cotidie operibus",,Castiglioni,,,,false
critical,ldlt-balex:0.1.1.0.1.1.1,aptantur,aptantur,M U S T V,,,,,true
critical,ldlt-balex:0.1.1.0.1.1.1,aptantur,temptantur,,Nipperdey,,,,false
critical,ldlt-balex:0.1.1.0.1.1.2,per foramina,per foramina,M U,,,,,true
critical,ldlt-balex:0.1.1.0.1.1.2,per foramina,foramina,S T V,,,,,false
critical,ldlt-balex:0.1.1.0.1.1.3,in,in,M U S T V,,,,,true
critical,ldlt-balex:0.1.1.0.1.1.3,in,in,,Schneider,,,,false
critical,ldlt-balex:0.1.1.0.1.2.0,ab incendio,ab incendio,,Müller,,,,true
critical,ldlt-balex:0.1.1.0.1.2.0,ab incendio,incendio,M U S T V,,,,,false
critical,ldlt-balex:0.1.1.0.1.2.1,et structuris,et structuris,U S T V,,,,,true
critical,ldlt-balex:0.1.1.0.1.2.1,et structuris,structuris,M,,,,,false
critical,ldlt-balex:0.1.1.0.1.2.2,ac,ac,M T V,,,,,true
critical,ldlt-balex:0.1.1.0.1.2.2,ac,et,U,,,,,false
critical,ldlt-balex:0.1.1.0.1.2.2,ac,a,S,,,,,false
critical,ldlt-balex:0.1.1.0.1.4.0,expectans,expectans,M U S T V,,,,,true
critical,ldlt-balex:0.1.1.0.1.4.0,expectans,spectans,,Vascosanus,,,,false
critical,ldlt-balex:0.1.1.0.1.4.1,urbs,urbs,U,,,,,true
critical,ldlt-balex:0.1.1.0.1.4.1,urbs,ubrs,M,,,,,false
critical,ldlt-balex:0.1.1.0.1.4.1,urbs,urbis,S T V,,,,,false
critical,ldlt-balex:0.1.1.0.1.4.2,"alterius rei copiam exiguam, alterius","alterius rei copiam exiguam, alterius",M U T V,,,,,true
critical,ldlt-balex:0.1.1.0.1.4.2,"alterius rei copiam exiguam, alterius",alterius,S,,,,,false
critical,ldlt-balex:0.1.1.0.2.0.0,"multitudinem
                              armatorum","multitudinem
                              armatorum",,Fischer,,,,true
critical,ldlt-balex:0.1.1.0.2.0.0,"multitudinem
                              armatorum",multitudinem,M U S T V,,,,,false
critical,ldlt-balex:0.1.1.0.2.0.0,"multitudinem
                              armatorum",militum multitudinem,,Dauisius1727,,,,false
critical,ldlt-balex:0.1.1.0.2.2.0,Hac,Hac,U T V,,,,,true
critical,ldlt-balex:0.1.1.0.2.2.0,Hac,huc,M,,,,,false
critical,ldlt-balex:0.1.1.0.2.2.0,Hac,ha,S,,,,,false
critical,ldlt-balex:0.1.1.0.2.2.1,semotarum,semotarum,Mmr,,,,,true
critical,ldlt-balex:0.1.1.0.2.2.1,semotarum,semotorum,M U S T V,,,,,false
critical,ldlt-balex:0.1.1.0.2.2.2,uacuas in celeberrimis urbis locis,uacuas in celeberrimis urbis locis,U S T V,,,,,true
critical,ldlt-balex:0.1.1.0.2.2.2,uacuas in celeberrimis urbis locis,uacuas,M,,,,,false
critical,ldlt-balex:0.1.1.0.2.4.1,confixerant,confixerant,M U S T V,,,,,true
critical,ldlt-balex:0.1.1.0.2.4.1,confixerant,confecerant,stigma,,,,,false
critical,ldlt-balex:0.1.1.0.2.4.1,confixerant,confinxerant,,Dauisius1706,,,,false
critical,ldlt-balex:0.1.1.0.2.4.1,confixerant,contexerant,,,,low,conjecture,false
critical,ldlt-balex:0.1.1.0.2.4.2,obiectis,obiectis,,scripsimus,,,,true
critical,ldlt-balex:0.1.1.0.2.4.2,obiectis,obiectis,M U S T V,,,,,false
critical,ldlt-balex:0.1.1.0.2.4.2,obiectis,obiectis,,Scaliger,,,,false
critical,ldlt-balex:0.1.1.0.2.4.2,obiectis,subiunctis,,Cornelissen,,,,false
critical,ldlt-balex:0.1.1.0.2.4.2,obiectis,adiectis,,Castiglioni,,,,false
critical,ldlt-balex:0.1.1.0.2.4.2,obiectis,obtectis,,Klotz,,,,false
critical,ldlt-balex:0.1.1.0.2.4.2,obiectis,iunctis,,,,low,conjecture,false
critical,ldlt-balex:0.1.1.0.2.4.2,obiectis,adiunctis,,,,low,conjecture,false
critical,ldlt-balex:0.1.1.0.3.0.0,ingeniosi,ingeniosi,M U S T V,,,,,true
critical,ldlt-balex:0.1.1.0.3.0.0,ingeniosi,ingeniosissimi,,Wölfflin,,,,false
critical,ldlt-balex:0.1.1.0.3.0.1,nobis,nobis,M U S T V,,,,,true
critical,ldlt-balex:0.1.1.0.3.0.1,nobis,nostris,,Nipperdey,,,,false
critical,ldlt-balex:0.1.1.0.3.1.0,eius,eius,M U S T V,,,,,true
critical,ldlt-balex:0.1.1.0.3.2.0,"ante A.
                           Gabinium","ante A.
                           Gabinium",,Schneider,,,,true
critical,ldlt-balex:0.1.1.0.3.2.0,"ante A.
                           Gabinium",antea gabinium,M U S Tc Vac,,,,,false
critical,ldlt-balex:0.1.1.0.3.2.0,"ante A.
                           Gabinium",ante gabinium,Tac Vc,,,,,false
critical,ldlt-balex:0.1.1.0.4.0.0,"praeoccupat Arsinoe per Ganymeden eunuchum, nutricium suum, atque
                           Achillan","praeoccupat Arsinoe per Ganymeden eunuchum, nutricium suum, atque
                           Achillan",M U S T V,,,,,true
critical,ldlt-balex:0.1.1.0.4.0.0,"praeoccupat Arsinoe per Ganymeden eunuchum, nutricium suum, atque
                           Achillan","praeoccupat Arsinoe per Ganymeden eunuchum, nutricium suum, Achillan
                           atque",,Fleischer,,,,false
critical,ldlt-balex:0.1.1.0.4.0.1,interficit,interficit,U S V,,,,,true
critical,ldlt-balex:0.1.1.0.4.0.1,interficit,interfecit,M T,,,,,false
critical,ldlt-balex:0.1.1.0.4.1.0,Is,Is,M U V,,,,,true
critical,ldlt-balex:0.1.1.0.4.1.0,Is,his,T,,,,,false
critical,ldlt-balex:0.1.1.0.4.1.0,Is,hic,S,,,,,false
critical,ldlt-balex:0.1.1.0.4.1.1,militem,militem,S T V,,,,,true
critical,ldlt-balex:0.1.1.0.4.1.1,militem,milites,M U,,,,,false
critical,ldlt-balex:0.1.1.0.4.1.2,reliqua,reliqua,M S,,,,,true
critical,ldlt-balex:0.1.1.0.4.1.2,reliqua,et reliqua,U T V,,,,,false
critical,ldlt-balex:0.1.1.0.5.0.0,suffossa,suffossa,Uc S T V,,,,,true
critical,ldlt-balex:0.1.1.0.5.0.0,suffossa,soffosa,Uac,,,,,false
critical,ldlt-balex:0.1.1.0.5.0.0,suffossa,fossossa,Mac,,,,,false
critical,ldlt-balex:0.1.1.0.5.0.0,suffossa,fossosa,Mc,,,,,false
critical,ldlt-balex:0.1.1.0.5.0.1,ad Nilum,ad Nilum,M U,,,,,true
critical,ldlt-balex:0.1.1.0.5.0.1,ad Nilum,a Nilo,S T V,,,,,false
