type,id,label,occurrences,lat,lon
person,Atkins,Atkins Adrienne Atkins,0,,
person,Bensch-Schaus,Bensch-Schaus Amelia Bensch-Schaus,0,,
person,Brutus,Brutus Brutus,0,,
person,Callaghan,Callaghan Greg Callaghan,0,,
person,Ciacconius,Ciacconius Petrus Ciacconius,0,,
person,Credo,Credo Brian Credo,0,,
person,Cuiacius,Cuiacius Cuiacius,0,,
person,Damon,Damon Cynthia Damon,0,,
person,Faernus,"Faernus Faerno, Gabriello",0,,
person,Gertz,Gertz M. C. Gertz,0,,
person,Glandorpius,"Glandorpius Glandorp, Johann",0,,
person,Gruterus,Gruterus Janus Gruterus,0,,
person,Hanson,Hanson Wes Hanson,0,,
person,Haupt,Haupt Moriz Haupt,0,,
person,Jurinius,Jurinius Jurinius,0,,
person,Keil,Keil Heinrich Keil,0,,
person,Khan,Khan Scheherazade Khan,0,,
person,Kovalchuk,Kovalchuk Maria Kovalchuk,0,,
person,Lewis,Lewis Amy Lewis,0,,
person,Naqvi,Naqvi Theodora Naqvi,0,,
person,Persyn,Persyn Marcie Persyn,0,,
person,Reinhardt,Reinhardt Isabella Reinhardt,0,,
person,Rhellicanus,Rhellicanus Rhellicanus,0,,
person,Rossetus,Rossetus Joannes Rossetus,0,,
person,Siesbye,Siesbye Oskar Siesbye,0,,
person,DSimons,D. Simons Dallas Simons,0,,
person,JSimons,J. Simons Julia Simons,0,,
person,Vozar,Vozar Tom Vozar,0,,
person,Warnock,Warnock Tim Warnock,0,,
person,Wölfflin,Wölfflin Eduard Wölfflin,0,,
