position,doc,lang,form,lemma,anchor
0,ldlt-balex,,Bellum,,ldlt-balex:0.1.1.0.0
1,ldlt-balex,,Alexandrinum,,ldlt-balex:0.1.1.0.0
2,ldlt-balex,,Bello,,ldlt-balex:0.1.1.0.1.0
3,ldlt-balex,,Alexandrino,,ldlt-balex:0.1.1.0.1.0
4,ldlt-balex,,conflato,,ldlt-balex:0.1.1.0.1.0
5,ldlt-balex,,Caesar,,ldlt-balex:0.1.1.0.1.0
6,ldlt-balex,,Rhodo,,ldlt-balex:0.1.1.0.1.0
7,ldlt-balex,,atque,,ldlt-balex:0.1.1.0.1.0
8,ldlt-balex,,ex,,ldlt-balex:0.1.1.0.1.0
9,ldlt-balex,,Syria,,ldlt-balex:0.1.1.0.1.0
10,ldlt-balex,,Ciliciaque,,ldlt-balex:0.1.1.0.1.0
11,ldlt-balex,,omnem,,ldlt-balex:0.1.1.0.1.0
12,ldlt-balex,,classem,,ldlt-balex:0.1.1.0.1.0
13,ldlt-balex,,arcessit,,ldlt-balex:0.1.1.0.1.0
14,ldlt-balex,,Creta,,ldlt-balex:0.1.1.0.1.0
15,ldlt-balex,,sagittarios,,ldlt-balex:0.1.1.0.1.0
16,ldlt-balex,,equites,,ldlt-balex:0.1.1.0.1.0
17,ldlt-balex,,ab,,ldlt-balex:0.1.1.0.1.0
18,ldlt-balex,,rege,,ldlt-balex:0.1.1.0.1.0
19,ldlt-balex,,Nabataeorum,,ldlt-balex:0.1.1.0.1.0
20,ldlt-balex,,Malcho,,ldlt-balex:0.1.1.0.1.0
21,ldlt-balex,,euocat,,ldlt-balex:0.1.1.0.1.0
22,ldlt-balex,,Tormenta,,ldlt-balex:0.1.1.0.1.0
23,ldlt-balex,,undique,,ldlt-balex:0.1.1.0.1.0
24,ldlt-balex,,conquiri,,ldlt-balex:0.1.1.0.1.0
25,ldlt-balex,,et,,ldlt-balex:0.1.1.0.1.0
26,ldlt-balex,,frumentum,,ldlt-balex:0.1.1.0.1.0
27,ldlt-balex,,mitti,,ldlt-balex:0.1.1.0.1.0
28,ldlt-balex,,auxilia,,ldlt-balex:0.1.1.0.1.0
29,ldlt-balex,,adduci,,ldlt-balex:0.1.1.0.1.0
30,ldlt-balex,,iubet,,ldlt-balex:0.1.1.0.1.0
31,ldlt-balex,,Interim,,ldlt-balex:0.1.1.0.1.1
32,ldlt-balex,,munitiones,,ldlt-balex:0.1.1.0.1.1
33,ldlt-balex,,cotidie,,lem-1.2-cotidie-operibus
34,ldlt-balex,,operibus,,lem-1.2-cotidie-operibus
35,ldlt-balex,,augentur,,ldlt-balex:0.1.1.0.1.1
36,ldlt-balex,,atque,,ldlt-balex:0.1.1.0.1.1
37,ldlt-balex,,omnes,,ldlt-balex:0.1.1.0.1.1
38,ldlt-balex,,oppidi,,ldlt-balex:0.1.1.0.1.1
39,ldlt-balex,,partes,,ldlt-balex:0.1.1.0.1.1
40,ldlt-balex,,quae,,ldlt-balex:0.1.1.0.1.1
41,ldlt-balex,,minus,,ldlt-balex:0.1.1.0.1.1
42,ldlt-balex,,esse,,ldlt-balex:0.1.1.0.1.1
43,ldlt-balex,,firmae,,ldlt-balex:0.1.1.0.1.1
