register,entry,lemma,reading,witnesses,source,resp,cert,type,isLemma
critical,ms-Ad1:0.1.0.6.0.0.22.0,,was,,,,,lit,false
critical,ms-Ad1:0.1.0.6.0.0.22.0,,was,,,,,orig,false
critical,ms-Ad1:0.1.0.6.0.0.22.0,,,,,,,mod,false
critical,ms-Ad1:0.1.0.16.0.0.46.0,,make,,,,,lit,false
critical,ms-Ad1:0.1.0.16.0.0.46.0,,make,,,,,orig,false
critical,ms-Ad1:0.1.0.16.0.0.46.0,,,,,,,mod,false
critical,ms-Ad1:0.1.0.18.0.0.66.0,,th,,,,,lit,false
critical,ms-Ad1:0.1.0.18.0.0.66.0,,th,,,,,orig,false
critical,ms-Ad1:0.1.0.18.0.0.66.0,,,,,,,mod,false
critical,ms-Ad1:0.1.0.19.0.0.62.0,,at,,,,,lit,false
critical,ms-Ad1:0.1.0.19.0.0.62.0,,at,,,,,orig,false
critical,ms-Ad1:0.1.0.19.0.0.62.0,,,,,,,mod,false
critical,ms-Ad1:0.1.0.19.0.0.66.0,,ch,,,,,lit,false
critical,ms-Ad1:0.1.0.19.0.0.66.0,,ch,,,,,orig,false
critical,ms-Ad1:0.1.0.19.0.0.66.0,,,,,,,mod,false
critical,ms-Ad1:0.1.0.20.0.0.64.0,,noht,,,,,lit,false
critical,ms-Ad1:0.1.0.20.0.0.64.0,,noht,,,,,orig,false
critical,ms-Ad1:0.1.0.20.0.0.64.0,,,,,,,mod,false
critical,ms-Ad1:0.1.0.21.0.0.46.0,,w,,,,,lit,false
critical,ms-Ad1:0.1.0.21.0.0.46.0,,,,,,,orig,false
critical,ms-Ad1:0.1.0.21.0.0.46.0,,,,,1,,mod,false
critical,ms-Ad1:0.1.0.24.0.0.52.0,,he,,,,,lit,false
critical,ms-Ad1:0.1.0.24.0.0.52.0,,,,,,,orig,false
critical,ms-Ad1:0.1.0.24.0.0.52.0,,he,,,,,mod,false
critical,ms-Ad3:0.1.0.2.0.0.54.0,,of,,,,,lit,false
critical,ms-Ad3:0.1.0.2.0.0.54.0,,,,,,,orig,false
critical,ms-Ad3:0.1.0.2.0.0.54.0,,of,,,,,mod,false
critical,ms-Ad3:0.1.0.6.0.0.10.0,,a,,,,,lit,false
critical,ms-Ad3:0.1.0.6.0.0.10.0,,,,,,,orig,false
critical,ms-Ad3:0.1.0.6.0.0.10.0,,a,,,,,mod,false
critical,ms-Ad3:0.1.0.11.0.0.6.0,,of,,,,,lit,false
critical,ms-Ad3:0.1.0.11.0.0.6.0,,,,,,,orig,false
critical,ms-Ad3:0.1.0.11.0.0.6.0,,of,,,,,mod,false
critical,ms-Bo1:0.1.0.4.0.0.54.0,,a,,,,,lit,false
critical,ms-Bo1:0.1.0.4.0.0.54.0,,,,,,,orig,false
critical,ms-Bo1:0.1.0.4.0.0.54.0,,a,,,1,,mod,false
critical,ms-Bo1:0.1.0.8.0.0.2.0,,song sonne,,,,,lit,false
critical,ms-Bo1:0.1.0.8.0.0.2.0,,song,,,,,orig,false
critical,ms-Bo1:0.1.0.8.0.0.2.0,,sonne,,,1,,mod,false
critical,ms-Bo1:0.1.0.11.0.0.60.0,,alle,,,,,lit,false
critical,ms-Bo1:0.1.0.11.0.0.60.0,,alle,,,,,orig,false
critical,ms-Bo1:0.1.0.11.0.0.60.0,,,,,1,,mod,false
critical,ms-Bo1:0.1.0.20.0.0.64.0,,hi,,,,,lit,false
critical,ms-Bo1:0.1.0.20.0.0.64.0,,hi,,,,,orig,false
critical,ms-Bo1:0.1.0.20.0.0.64.0,,,,,1,,mod,false
