form,lang,count,per_thousand,stopword
and,,16516,49.413,no
he,,13342,39.917,no
a,,12910,38.624,no
of,,9631,28.814,no
his,,9492,28.398,no
was,,9489,28.389,no
in,,6757,20.216,no
to,,5882,17.598,no
the,,5725,17.128,no
as,,4635,13.867,no
that,,4573,13.682,no
for,,3925,11.743,no
i,,2453,7.339,no
but,,2178,6.516,no
it,,2085,6.238,no
with,,2051,6.136,no
at,,1978,5.918,no
were,,1776,5.313,no
had,,1711,5.119,no
is,,1706,5.104,no
be,,1688,5.05,no
so,,1627,4.868,no
wel,,1624,4.859,no
ful,,1616,4.835,no
hadde,,1598,4.781,no
þe,,1500,4.488,no
or,,1484,4.44,no
er,,1482,4.434,no
ther,,1475,4.413,no
by,,1425,4.263,no
hym,,1415,4.233,no
on,,1329,3.976,no
al,,1312,3.925,no
this,,1270,3.8,no
no,,1211,3.623,no
she,,1210,3.62,no
man,,1175,3.515,no
ne,,1152,3.447,no
þat,,1013,3.031,no
hir,,955,2.857,no
verse,,896,2.681,no
whole,,896,2.681,no
an,,890,2.663,no
all,,865,2.588,no
ᵗ,,840,2.513,no
not,,781,2.337,no
haue,,778,2.328,no
him,,754,2.256,no
full,,751,2.247,no
wolde,,750,2.244,no
w,,722,2.16,no
y,,715,2.139,no
un,,678,2.028,no
ıı̄,,677,2.025,no
my,,657,1.966,no
here,,654,1.957,no
ith,,652,1.951,no
ye,,651,1.948,no
whan,,635,1.9,no
good,,618,1.849,no
oure,,612,1.831,no
we,,612,1.831,no
alle,,573,1.714,no
you,,571,1.708,no
if,,566,1.693,no
wele,,558,1.669,no
her,,536,1.604,no
eke,,533,1.595,no
vs,,533,1.595,no
many,,530,1.586,no
there,,530,1.586,no
also,,507,1.517,no
now,,507,1.517,no
ꝑ,,506,1.514,no
than,,499,1.493,no
telle,,498,1.49,no
þ,,458,1.37,no
make,,456,1.364,no
hys,,453,1.355,no
eu,,450,1.346,no
what,,446,1.334,no
tale,,442,1.322,no
hem,,433,1.295,no
men,,429,1.283,no
made,,420,1.257,no
vpon,,410,1.227,no
they,,408,1.221,no
shal,,406,1.215,no
me,,404,1.209,no
speke,,397,1.188,no
right,,393,1.176,no
nat,,391,1.17,no
yow,,390,1.167,no
bi,,376,1.125,no
coude,,376,1.125,no
vp,,367,1.098,no
ben,,364,1.089,no
sche,,353,1.056,no
wold,,351,1.05,no
more,,347,1.038,no
e,,344,1.029,no
rede,,341,1.02,no
well,,340,1.017,no
couthe,,335,1.002,no
grete,,334,0.999,no
tyme,,329,0.984,no
n,,321,0.96,no
per,,319,0.954,no
fro,,308,0.921,no
hors,,304,0.91,no
bare,,303,0.907,no
lord,,303,0.907,no
faire,,295,0.883,no
þer,,294,0.88,no
hede,,292,0.874,no
any,,287,0.859,no
out,,283,0.847,no
vnto,,283,0.847,no
worthy,,283,0.847,no
noon,,279,0.835,no
after,,274,0.82,no
gret,,274,0.82,no
who,,273,0.817,no
newe,,272,0.814,no
best,,271,0.811,no
euery,,265,0.793,no
m,,264,0.79,no
nas,,255,0.763,no
þis,,248,0.742,no
wordes,,246,0.736,no
may,,245,0.733,no
yf,,243,0.727,no
loued,,242,0.724,no
can,,239,0.715,no
therto,,239,0.715,no
cowde,,237,0.709,no
day,,236,0.706,no
from,,235,0.703,no
hee,,233,0.697,no
nought,,232,0.694,no
gold,,230,0.688,no
our,,228,0.682,no
suche,,228,0.682,no
which,,226,0.676,no
hath,,225,0.673,no
non,,224,0.67,no
hire,,220,0.658,no
riche,,219,0.655,no
mery,,213,0.637,no
mete,,213,0.637,no
fulle,,212,0.634,no
how,,211,0.631,no
sette,,209,0.625,no
first,,207,0.619,no
speche,,207,0.619,no
none,,203,0.607,no
holy,,202,0.604,no
kepe,,202,0.604,no
olde,,201,0.601,no
wyn,,199,0.595,no
noble,,197,0.589,no
par,,197,0.589,no
white,,197,0.589,no
wyth,,197,0.589,no
knewe,,196,0.586,no
knyght,,192,0.574,no
cause,,191,0.571,no
ale,,190,0.568,no
such,,190,0.568,no
other,,189,0.565,no
rode,,189,0.565,no
short,,188,0.562,no
berd,,187,0.559,no
though,,187,0.559,no
atte,,185,0.553,no
ur,,185,0.553,no
hit,,184,0.55,no
seide,,184,0.55,no
dede,,182,0.545,no
t,,179,0.536,no
take,,179,0.536,no
longe,,178,0.533,no
seint,,178,0.533,no
tellen,,178,0.533,no
vppon,,177,0.53,no
wey,,176,0.527,no
do,,175,0.524,no
come,,173,0.518,no
koude,,173,0.518,no
couth,,171,0.512,no
forto,,171,0.512,no
wyne,,167,0.5,no
song,,164,0.491,no
whiche,,163,0.488,no
knew,,162,0.485,no
wol,,162,0.485,no
god,,161,0.482,no
ande,,160,0.479,no
eyen,,160,0.479,no
weye,,160,0.479,no
wight,,160,0.479,no
grene,,159,0.476,no
lorde,,159,0.476,no
seynt,,159,0.476,no
ay,,158,0.473,no
large,,157,0.47,no
beste,,156,0.467,no
oute,,156,0.467,no
shall,,156,0.467,no
rood,,155,0.464,no
smale,,154,0.461,no
hade,,153,0.458,no
tales,,152,0.455,no
bar,,151,0.452,no
cost,,151,0.452,no
place,,151,0.452,no
assent,,150,0.449,no
felawe,,150,0.449,no
redy,,150,0.449,no
gode,,149,0.446,no
therfore,,149,0.446,no
ryde,,148,0.443,no
most,,147,0.44,no
oon,,147,0.44,no
rome,,147,0.44,no
yaf,,147,0.44,no
falle,,146,0.437,no
yet,,146,0.437,no
bokeler,,145,0.434,no
ȝe,,144,0.431,no
nowher,,143,0.428,no
owne,,143,0.428,no
conscience,,142,0.425,no
vn,,142,0.425,no
face,,141,0.422,no
self,,141,0.422,no
songe,,141,0.422,no
have,,140,0.419,no
lerned,,140,0.419,no
lay,,139,0.416,no
ride,,139,0.416,no
worthi,,139,0.416,no
chere,,138,0.413,no
heed,,137,0.41,no
siluer,,137,0.41,no
been,,136,0.407,no
forward,,135,0.404,no
poure,,135,0.404,no
eek,,134,0.401,no
hese,,134,0.401,no
hood,,134,0.401,no
spak,,134,0.401,no
cappe,,133,0.398,no
see,,133,0.398,no
semely,,133,0.398,no
eche,,132,0.395,no
welle,,132,0.395,no
hous,,131,0.392,no
nose,,131,0.392,no
word,,131,0.392,no
ofte,,130,0.389,no
othir,,129,0.386,no
when,,129,0.386,no
wise,,129,0.386,no
berde,,128,0.383,no
better,,128,0.383,no
clene,,128,0.383,no
myght,,128,0.383,no
yeue,,128,0.383,no
sey,,127,0.38,no
ware,,127,0.38,no
wynne,,127,0.38,no
cote,,126,0.377,no
swich,,126,0.377,no
herte,,125,0.374,no
riden,,125,0.374,no
greet,,124,0.371,no
belle,,123,0.368,no
cut,,123,0.368,no
gan,,123,0.368,no
long,,123,0.368,no
reed,,123,0.368,no
shuld,,122,0.365,no
yit,,122,0.365,no
youre,,122,0.365,no
fair,,121,0.362,no
fore,,121,0.362,no
gay,,121,0.362,no
purs,,121,0.362,no
thei,,120,0.359,no
þan,,120,0.359,no
glas,,119,0.356,no
noght,,119,0.356,no
nowe,,119,0.356,no
rote,,119,0.356,no
set,,119,0.356,no
side,,119,0.356,no
trowe,,119,0.356,no
viage,,119,0.356,no
aboute,,118,0.353,no
lene,,118,0.353,no
soper,,118,0.353,no
wiste,,118,0.353,no
wiþ,,118,0.353,no
fat,,117,0.35,no
goode,,117,0.35,no
lowe,,117,0.35,no
wit,,117,0.35,no
your,,117,0.35,no
caas,,116,0.347,no
loue,,116,0.347,no
one,,116,0.347,no
couþe,,115,0.344,no
hed,,115,0.344,no
p,,115,0.344,no
teche,,115,0.344,no
thus,,115,0.344,no
wys,,115,0.344,no
aftir,,114,0.341,no
folk,,114,0.341,no
hote,,114,0.341,no
iugement,,114,0.341,no
late,,114,0.341,no
seke,,114,0.341,no
semed,,114,0.341,no
wist,,114,0.341,no
ȝow,,114,0.341,no
ensample,,113,0.338,no
man̄,,113,0.338,no
ordre,,113,0.338,no
pardoner,,113,0.338,no
vnder,,113,0.338,no
wote,,113,0.338,no
mo,,112,0.335,no
pore,,112,0.335,no
brode,,111,0.332,no
euer,,111,0.332,no
shepe,,111,0.332,no
lat,,110,0.329,no
lyue,,110,0.329,no
gentil,,109,0.326,no
hise,,109,0.326,no
myn,,109,0.326,no
pace,,109,0.326,no
yif,,109,0.326,no
reuerence,,108,0.323,no
weren,,108,0.323,no
drynke,,107,0.32,no
nones,,107,0.32,no
nyght,,107,0.32,no
like,,106,0.317,no
pacient,,106,0.317,no
space,,106,0.317,no
wil,,106,0.317,no
seye,,105,0.314,no
weere,,105,0.314,no
þᵉ,,105,0.314,no
es,,104,0.311,no
spent,,104,0.311,no
wonne,,104,0.311,no
worde,,104,0.311,no
anon,,103,0.308,no
clad,,103,0.308,no
lady,,103,0.308,no
pro,,103,0.308,no
sonne,,103,0.308,no
alwey,,102,0.305,no
moche,,102,0.305,no
frere,,101,0.302,no
moste,,101,0.302,no
nor,,101,0.302,no
reue,,101,0.302,no
twenty,,101,0.302,no
wyde,,101,0.302,no
arme,,100,0.299,no
eny,,100,0.299,no
pope,,100,0.299,no
drawe,,99,0.296,no
pray,,99,0.296,no
thyng,,99,0.296,no
herde,,98,0.293,no
ilke,,98,0.293,no
monke,,98,0.293,no
neu,,98,0.293,no
thought,,98,0.293,no
ꝓ,,97,0.29,no
wer,,97,0.29,no
wyse,,97,0.29,no
clerk,,96,0.287,no
degre,,96,0.287,no
þei,,96,0.287,no
halle,,95,0.284,no
londe,,95,0.284,no
sentence,,95,0.284,no
strong,,95,0.284,no
high,,94,0.281,no
preest,,94,0.281,no
quod,,94,0.281,no
went,,94,0.281,no
caunterbury,,93,0.278,no
contre,,93,0.278,no
grace,,93,0.278,no
hare,,93,0.278,no
knowe,,93,0.278,no
neuer,,93,0.278,no
smerte,,93,0.278,no
toke,,93,0.278,no
yere,,93,0.278,no
lete,,92,0.275,no
mote,,92,0.275,no
taught,,92,0.275,no
age,,91,0.272,no
bones,,91,0.272,no
companye,,91,0.272,no
golde,,91,0.272,no
poynt,,91,0.272,no
shulde,,91,0.272,no
soule,,91,0.272,no
hond,,90,0.269,no
lawe,,90,0.269,no
post,,90,0.269,no
spake,,90,0.269,no
spare,,90,0.269,no
ᵘ,,90,0.269,no
wonder,,90,0.269,no
moo,,89,0.266,no
s,,89,0.266,no
som,,89,0.266,no
ꝭ,,89,0.266,no
seyde,,88,0.263,no
world,,88,0.263,no
cristes,,86,0.257,no
go,,86,0.257,no
kept,,86,0.257,no
ou,,86,0.257,no
preche,,86,0.257,no
solempne,,86,0.257,no
stepe,,86,0.257,no
syde,,86,0.257,no
wered,,86,0.257,no
yonge,,85,0.254,no
ce,,84,0.251,no
sone,,84,0.251,no
table,,84,0.251,no
wente,,84,0.251,no
wood,,84,0.251,no
þere,,84,0.251,no
able,,83,0.248,no
thries,,83,0.248,no
yong,,83,0.248,no
glad,,82,0.245,no
gladly,,82,0.245,no
schal,,82,0.245,no
shene,,82,0.245,no
sholde,,82,0.245,no
thing,,82,0.245,no
thre,,82,0.245,no
att,,81,0.242,no
fynde,,81,0.242,no
gesse,,81,0.242,no
kepte,,81,0.242,no
lond,,81,0.242,no
pleyn,,81,0.242,no
yeve,,81,0.242,no
cas,,80,0.239,no
craft,,80,0.239,no
gon,,80,0.239,no
leste,,80,0.239,no
lordes,,80,0.239,no
mede,,79,0.236,no
reve,,79,0.236,no
ryden,,79,0.236,no
seid,,79,0.236,no
walet,,79,0.236,no
wepe,,79,0.236,no
woot,,79,0.236,no
array,,78,0.233,no
bowe,,78,0.233,no
doth,,78,0.233,no
gat,,78,0.233,no
hoot,,78,0.233,no
lenger,,78,0.233,no
nonne,,78,0.233,no
stonde,,78,0.233,no
begynne,,77,0.23,no
curs,,77,0.23,no
digne,,77,0.23,no
hode,,77,0.23,no
presse,,77,0.23,no
prest,,77,0.23,no
smothe,,77,0.23,no
sore,,77,0.23,no
bake,,76,0.227,no
bene,,76,0.227,no
cope,,76,0.227,no
dore,,75,0.224,no
honde,,75,0.224,no
sat,,75,0.224,no
worth,,75,0.224,no
book,,74,0.221,no
daunce,,74,0.221,no
fer,,74,0.221,no
monk,,74,0.221,no
ouer,,74,0.221,no
ought,,74,0.221,no
smal,,74,0.221,no
ys,,74,0.221,no
blak,,73,0.218,no
helpe,,73,0.218,no
home,,73,0.218,no
litel,,73,0.218,no
o,,73,0.218,no
prioresse,,73,0.218,no
se,,73,0.218,no
toun,,73,0.218,no
visage,,73,0.218,no
yt,,73,0.218,no
began,,72,0.215,no
coste,,72,0.215,no
iuggement,,72,0.215,no
lowde,,72,0.215,no
rente,,72,0.215,no
war,,72,0.215,no
wordis,,72,0.215,no
wrought,,72,0.215,no
brood,,71,0.212,no
ende,,71,0.212,no
hewe,,71,0.212,no
myrthe,,71,0.212,no
saide,,71,0.212,no
sondry,,71,0.212,no
us,,71,0.212,no
cleped,,70,0.209,no
crist,,70,0.209,no
gere,,70,0.209,no
herd,,70,0.209,no
ʆ,,70,0.209,no
way,,70,0.209,no
dronken,,69,0.206,no
fressh,,69,0.206,no
martir,,69,0.206,no
plesaunt,,69,0.206,no
seche,,69,0.206,no
selle,,69,0.206,no
ser,,69,0.206,no
shortly,,69,0.206,no
son,,69,0.206,no
whom,,69,0.206,no
don,,68,0.203,no
draught,,68,0.203,no
graunted,,68,0.203,no
ony,,68,0.203,no
passed,,68,0.203,no
thanne,,68,0.203,no
tonge,,68,0.203,no
where,,68,0.203,no
als,,67,0.2,no
forth,,67,0.2,no
han,,67,0.2,no
hight,,67,0.2,no
say,,67,0.2,no
thys,,67,0.2,no
welcome,,67,0.2,no
withoute,,67,0.2,no
benefice,,66,0.197,no
charite,,66,0.197,no
chirche,,66,0.197,no
eueri,,66,0.197,no
philosophie,,66,0.197,no
ruste,,66,0.197,no
whanne,,66,0.197,no
bigan,,65,0.194,no
endite,,65,0.194,no
esy,,65,0.194,no
gowne,,65,0.194,no
half,,65,0.194,no
off,,65,0.194,no
phisik,,65,0.194,no
rent,,65,0.194,no
ryght,,65,0.194,no
sene,,65,0.194,no
soo,,65,0.194,no
two,,65,0.194,no
vertuous,,65,0.194,no
fayre,,64,0.191,no
let,,64,0.191,no
madame,,64,0.191,no
often,,64,0.191,no
robes,,64,0.191,no
ten,,64,0.191,no
termes,,64,0.191,no
wide,,64,0.191,no
anone,,63,0.188,no
auenture,,63,0.188,no
honour,,63,0.188,no
ram,,63,0.188,no
sheep,,63,0.188,no
tabard,,63,0.188,no
tell,,63,0.188,no
fyne,,62,0.185,no
holde,,62,0.185,no
loude,,62,0.185,no
manere,,62,0.185,no
sauce,,62,0.185,no
sire,,62,0.185,no
souper,,62,0.185,no
burgeys,,61,0.183,no
erly,,61,0.183,no
estate,,61,0.183,no
gretter,,61,0.183,no
maunciple,,61,0.183,no
morwe,,61,0.183,no
whilom,,61,0.183,no
wo,,61,0.183,no
certeyn,,60,0.18,no
maken,,60,0.18,no
ri,,60,0.18,no
staf,,60,0.18,no
swynke,,60,0.18,no
thynges,,60,0.18,no
ȝif,,60,0.18,no
austyn,,59,0.177,no
clepid,,59,0.177,no
dele,,59,0.177,no
goon,,59,0.177,no
knowen,,59,0.177,no
reste,,59,0.177,no
seith,,59,0.177,no
court,,58,0.174,no
grey,,58,0.174,no
kan,,58,0.174,no
lyke,,58,0.174,no
reu,,58,0.174,no
soules,,58,0.174,no
swete,,58,0.174,no
vndertake,,58,0.174,no
ward,,58,0.174,no
wode,,58,0.174,no
þus,,58,0.174,no
curious,,57,0.171,no
fatte,,57,0.171,no
gou,,57,0.171,no
hert,,57,0.171,no
hy,,57,0.171,no
myghte,,57,0.171,no
nouȝt,,57,0.171,no
purchace,,57,0.171,no
crye,,56,0.168,no
folke,,56,0.168,no
morow,,56,0.168,no
red,,56,0.168,no
schall,,56,0.168,no
selue,,56,0.168,no
stronge,,56,0.168,no
symple,,56,0.168,no
trewly,,56,0.168,no
tweye,,56,0.168,no
whyche,,56,0.168,no
boute,,55,0.165,no
clepe,,55,0.165,no
comen,,55,0.165,no
fader,,55,0.165,no
ⁱ,,55,0.165,no
