type,id,label,occurrences,lat,lon
person,"Ruan, Georgius","Ruan, Georgius",1,,
person,Román Taraura,Román Taraura,1,,
person,"Matzuda, Michael S.J.","Matzuda, Michael S.J.",2,,
person,"Figueredo, Thomas de","Figueredo, Thomas de",5,,
person,Petrus Chiquan S.J.,Petrus Chiquan S.J.,4,,
person,"Vota, Agustinus S.J.","Vota, Agustinus S.J.",4,,
person,Franciscus Calderón S.J.,Franciscus Calderón S.J.,6,,
person,Valerius de Ledesma S.J.,Valerius de Ledesma S.J.,2,,
person,http://viaf.org/viaf/316437458,Andreas de Perusio O.F.M.12..-1332,4,,
person,Andreas de Perusio O.F.M.,Andreas de Perusio O.F.M.,3,,
person,https://viaf.org/50027343,magni Chanis,16,,
person,Magnus Kaam,Magnus Kaam,16,,
person,Yesün Temür Khan,Yesün Temür Khan,12,,
person,Gerardus O.F.M.,Gerardus O.F.M.,2,,
person,https://viaf.org/84532574,Papam Clementem,1,,
person,Clemens V,Clemens V,1,,
person,Nicolaus de Banzia O.F.M.,Nicolaus de Banzia O.F.M.,1,,
person,Andreuccius de Assisio O.F.M.,Andreuccius de Assisio O.F.M.,1,,
person,Augustinus de Paschalis O.F.M.,Augustinus de Paschalis O.F.M.,14,,
person,"Quemener, Ludovicus","Quemener, Ludovicus",3,,
person,"Maigrot, Carolus","Maigrot, Carolus",1,,
person,http://www.viaf.org/61957240,Basilius a Glemona,1,,
person,Basilius a Glemona,Basilius a Glemona,1,,
person,Basilius,Basilius,1,,
person,Iohannes de las Llagas,Iohannes de las Llagas,1,,
person,Lucas Estevan O.F.M.,Lucas Estevan O.F.M.,2,,
person,Blasius Garcia O.F.M.,Blasius Garcia O.F.M.,5,,
person,"Le Blanc, Philibertus M.E.","Le Blanc, Philibertus M.E.",16,,
person,"Lopez, Gregorio","Lopez, Gregorio",2,,
person,Franciscus Petrus a Conceptione O.F.M.,Franciscus Petrus a Conceptione O.F.M.,9,,
person,http://www.viaf.org/305517661,Innocentio Papa XI,1,,
person,Innocentius XI,Innocentius XI,1,,
person,"Pallu, Franciscus M.E.","Pallu, Franciscus M.E.",1,,
person,http://www.viaf.org/221148389131610710312,Clemente Papa IX,1,,
person,Clemens IX,Clemens IX,1,,
person,"Turcotti, Carolus S.I.","Turcotti, Carolus S.I.",8,,
