form,lang,count,per_thousand,stopword
the,,8,82.474,no
a,,4,41.237,no
odd,,4,41.237,no
event,,3,30.928,no
is,,3,30.928,no
this,,3,30.928,no
by,,2,20.619,no
declared,,2,20.619,no
from,,2,20.619,no
model,,2,20.619,no
no,,2,20.619,no
not,,2,20.619,no
paragraph,,2,20.619,no
save,,2,20.619,no
tei,,2,20.619,no
all,,1,10.309,no
as,,1,10.309,no
at,,1,10.309,no
autosave,,1,10.309,no
behaviour,,1,10.309,no
block,,1,10.309,no
bold,,1,10.309,no
born,,1,10.309,no
comes,,1,10.309,no
contract,,1,10.309,no
decisions,,1,10.309,no
digital,,1,10.309,no
does,,1,10.309,no
edition,,1,10.309,no
edition’s,,1,10.309,no
element,,1,10.309,no
environment,,1,10.309,no
explicitly,,1,10.309,no
fallback,,1,10.309,no
first,,1,10.309,no
has,,1,10.309,no
in,,1,10.309,no
into,,1,10.309,no
involved,,1,10.309,no
it,,1,10.309,no
italic,,1,10.309,no
its,,1,10.309,no
link,,1,10.309,no
match,,1,10.309,no
name,,1,10.309,no
odd’s,,1,10.309,no
ordinary,,1,10.309,no
predicate,,1,10.309,no
processing,,1,10.309,no
produced,,1,10.309,no
provenance,,1,10.309,no
recorded,,1,10.309,no
reference,,1,10.309,no
renders,,1,10.309,no
rule,,1,10.309,no
second,,1,10.309,no
so,,1,10.309,no
switch,,1,10.309,no
their,,1,10.309,no
three,,1,10.309,no
torchio,,1,10.309,no
treatment,,1,10.309,no
turns,,1,10.309,no
undated,,1,10.309,no
was,,1,10.309,no
web,,1,10.309,no
when,,1,10.309,no
with,,1,10.309,no
writing,,1,10.309,no
