position,doc,lang,form,lemma,anchor
0,edition,,Three,,edition:0.1.0.0
1,edition,,decisions,,edition:0.1.0.0
2,edition,,with,,edition:0.1.0.0
3,edition,,their,,edition:0.1.0.0
4,edition,,provenance,,edition:0.1.0.0
5,edition,,This,,edition:0.1.0.1
6,edition,,paragraph,,edition:0.1.0.1
7,edition,,is,,edition:0.1.0.1
8,edition,,ordinary,,edition:0.1.0.1
9,edition,,TEI,,edition:0.1.0.1
10,edition,,Its,,edition:0.1.0.1
11,edition,,paragraph,,edition:0.1.0.1
12,edition,,behaviour,,edition:0.1.0.1
13,edition,,comes,,edition:0.1.0.1
14,edition,,from,,edition:0.1.0.1
15,edition,,the,,edition:0.1.0.1
16,edition,,TEI,,edition:0.1.0.1
17,edition,,All,,edition:0.1.0.1
18,edition,,fallback,,edition:0.1.0.1
19,edition,,contract,,edition:0.1.0.1
20,edition,,not,,edition:0.1.0.1
21,edition,,from,,edition:0.1.0.1
22,edition,,a,,edition:0.1.0.1
23,edition,,rule,,edition:0.1.0.1
24,edition,,in,,edition:0.1.0.1
25,edition,,this,,edition:0.1.0.1
26,edition,,edition’s,,edition:0.1.0.1
27,edition,,ODD,,edition:0.1.0.1
28,edition,,At,,edition:0.1.0.2
29,edition,,autosave,,edition:0.1.0.2.0
30,edition,,the,,edition:0.1.0.2
31,edition,,born,,edition:0.1.0.2
32,edition,,digital,,edition:0.1.0.2
33,edition,,writing,,edition:0.1.0.2
34,edition,,environment,,edition:0.1.0.2
35,edition,,recorded,,edition:0.1.0.2
36,edition,,a,,edition:0.1.0.2
37,edition,,save,,edition:0.1.0.2
38,edition,,event,,edition:0.1.0.2
39,edition,,This,,edition:0.1.0.2
40,edition,,italic,,edition:0.1.0.2
41,edition,,bold,,edition:0.1.0.2
42,edition,,treatment,,edition:0.1.0.2
43,edition,,is,,edition:0.1.0.2
44,edition,,explicitly,,edition:0.1.0.2
45,edition,,declared,,edition:0.1.0.2
46,edition,,by,,edition:0.1.0.2
47,edition,,the,,edition:0.1.0.2
48,edition,,edition,,edition:0.1.0.2
49,edition,,ODD,,edition:0.1.0.2
50,edition,,The,,edition:0.1.0.3
51,edition,,event,,edition:0.1.0.3
52,edition,,was,,edition:0.1.0.3
53,edition,,produced,,edition:0.1.0.3
54,edition,,by,,edition:0.1.0.3
55,edition,,Torchio,,edition:0.1.0.3.0
56,edition,,The,,edition:0.1.0.3
57,edition,,ODD’s,,edition:0.1.0.3
58,edition,,web,,edition:0.1.0.3
59,edition,,processing,,edition:0.1.0.3
60,edition,,model,,edition:0.1.0.3
61,edition,,turns,,edition:0.1.0.3
62,edition,,the,,edition:0.1.0.3
63,edition,,declared,,edition:0.1.0.3
64,edition,,reference,,edition:0.1.0.3
65,edition,,into,,edition:0.1.0.3
66,edition,,a,,edition:0.1.0.3
67,edition,,link,,edition:0.1.0.3
68,edition,,Undated,,edition:0.1.0.4.0
69,edition,,save,,edition:0.1.0.4.0
70,edition,,event,,edition:0.1.0.4.0
71,edition,,has,,edition:0.1.0.4
72,edition,,no,,edition:0.1.0.4
73,edition,,when,,edition:0.1.0.4
74,edition,,the,,edition:0.1.0.4
75,edition,,first,,edition:0.1.0.4
76,edition,,ODD,,edition:0.1.0.4
77,edition,,predicate,,edition:0.1.0.4
78,edition,,does,,edition:0.1.0.4
79,edition,,not,,edition:0.1.0.4
80,edition,,match,,edition:0.1.0.4
81,edition,,so,,edition:0.1.0.4
82,edition,,the,,edition:0.1.0.4
83,edition,,second,,edition:0.1.0.4
84,edition,,ODD,,edition:0.1.0.4
85,edition,,model,,edition:0.1.0.4
86,edition,,renders,,edition:0.1.0.4
87,edition,,it,,edition:0.1.0.4
88,edition,,as,,edition:0.1.0.4
89,edition,,a,,edition:0.1.0.4
90,edition,,block,,edition:0.1.0.4
91,edition,,No,,edition:0.1.0.4
92,edition,,element,,edition:0.1.0.4
93,edition,,name,,edition:0.1.0.4
94,edition,,switch,,edition:0.1.0.4
95,edition,,is,,edition:0.1.0.4
96,edition,,involved,,edition:0.1.0.4
