form,lang,count,per_thousand,stopword
δʼ,grc,2794,32.045,no
καὶ,grc,2208,25.324,no
δὲ,grc,1152,13.213,no
τε,grc,1142,13.098,yes
μὲν,grc,700,8.029,no
οἱ,grc,633,7.26,no
ἐν,grc,620,7.111,yes
δέ,grc,555,6.365,yes
ὣς,grc,533,6.113,no
τʼ,grc,489,5.609,no
τοι,grc,449,5.15,no
ἀλλʼ,grc,441,5.058,no
μοι,grc,433,4.966,no
γὰρ,grc,413,4.737,no
αὐτὰρ,grc,404,4.634,no
ἐπὶ,grc,387,4.439,no
τὸν,grc,385,4.416,no
δὴ,grc,365,4.186,no
ἦ,grc,325,3.728,no
ἐπεὶ,grc,315,3.613,no
ἐνὶ,grc,311,3.567,no
ἐς,grc,310,3.555,no
μιν,grc,307,3.521,no
γε,grc,295,3.383,yes
ὁ,grc,277,3.177,yes
ἄρα,grc,262,3.005,no
κατὰ,grc,258,2.959,no
οὐ,grc,256,2.936,yes
τις,grc,251,2.879,yes
νῦν,grc,249,2.856,no
ἄρʼ,grc,245,2.81,no
ὡς,grc,233,2.672,yes
καί,grc,225,2.581,yes
ἐκ,grc,223,2.558,yes
γάρ,grc,222,2.546,yes
οὔ,grc,215,2.466,no
ἐγὼ,grc,212,2.431,no
τι,grc,200,2.294,yes
γʼ,grc,192,2.202,no
περ,grc,191,2.191,no
οὐδέ,grc,178,2.042,no
ἔνθα,grc,176,2.019,no
ἠδὲ,grc,176,2.019,no
οὐδʼ,grc,175,2.007,no
κεν,grc,174,1.996,no
οὐκ,grc,174,1.996,no
ἐπʼ,grc,173,1.984,no
ὀδυσσεύς,grc,172,1.973,no
μʼ,grc,170,1.95,no
εἰ,grc,163,1.87,yes
ἔπειτα,grc,163,1.87,no
εἰς,grc,158,1.812,yes
ὅτε,grc,158,1.812,no
πάντα,grc,155,1.778,no
μάλα,grc,154,1.766,no
σε,grc,153,1.755,no
τῷ,grc,152,1.743,no
ἢ,grc,150,1.72,no
ἀλλὰ,grc,147,1.686,no
με,grc,147,1.686,no
τὴν,grc,147,1.686,no
ἡ,grc,145,1.663,yes
μή,grc,142,1.629,yes
ἀνδρῶν,grc,140,1.606,no
ὅς,grc,140,1.606,no
ὅ,grc,138,1.583,no
πολλὰ,grc,130,1.491,no
ῥʼ,grc,130,1.491,no
πρὸς,grc,128,1.468,no
δή,grc,124,1.422,no
σὺ,grc,124,1.422,no
εἴ,grc,123,1.411,no
κε,grc,123,1.411,no
περὶ,grc,123,1.411,no
τηλέμαχος,grc,123,1.411,no
ἐξ,grc,120,1.376,no
αὐτὸς,grc,118,1.353,no
τίς,grc,115,1.319,no
θυμῷ,grc,113,1.296,no
μέν,grc,112,1.285,yes
κʼ,grc,110,1.262,no
μέγα,grc,110,1.262,no
ἀθήνη,grc,109,1.25,no
γαῖαν,grc,109,1.25,no
ἂν,grc,108,1.239,no
οἵ,grc,107,1.227,no
ἔτι,grc,104,1.193,no
πάντες,grc,104,1.193,no
ὄφρα,grc,103,1.181,no
ὦ,grc,102,1.17,no
ἐγώ,grc,101,1.158,no
οὐδὲ,grc,101,1.158,no
παρὰ,grc,101,1.158,no
ἥ,grc,100,1.147,no
ἤδη,grc,99,1.135,no
νῆα,grc,99,1.135,no
θʼ,grc,98,1.124,no
αὐτοῦ,grc,97,1.113,no
δῖος,grc,97,1.113,no
προσέφη,grc,96,1.101,no
τί,grc,96,1.101,no
τὰ,grc,95,1.09,no
τότε,grc,95,1.09,no
ὥς,grc,95,1.09,no
αὖτε,grc,94,1.078,no
τοῦ,grc,94,1.078,no
αὖ,grc,93,1.067,no
ἄγε,grc,92,1.055,no
ἀπὸ,grc,92,1.055,no
φίλον,grc,92,1.055,no
μετὰ,grc,91,1.044,no
σʼ,grc,91,1.044,no
θεοὶ,grc,88,1.009,no
ὃς,grc,88,1.009,no
ἔπος,grc,87,0.998,no
ἔφατʼ,grc,87,0.998,no
τῶν,grc,87,0.998,no
ἐγὼν,grc,86,0.986,no
ἠδʼ,grc,86,0.986,no
ἀμφὶ,grc,85,0.975,no
τὸ,grc,85,0.975,no
ἔνθʼ,grc,84,0.963,no
ὀδυσσεὺς,grc,84,0.963,no
σὺν,grc,83,0.952,no
οὔτε,grc,82,0.94,no
φάτο,grc,80,0.918,no
δῶμα,grc,79,0.906,no
μάλʼ,grc,79,0.906,no
οἳ,grc,79,0.906,no
ὑπὸ,grc,78,0.895,no
εἶναι,grc,76,0.872,no
μὴ,grc,75,0.86,no
προσέειπε,grc,75,0.86,no
κακὰ,grc,74,0.849,no
προσηύδα,grc,74,0.849,no
ὄφρʼ,grc,73,0.837,no
τόδε,grc,73,0.837,no
ἠὲ,grc,72,0.826,no
οὔτʼ,grc,72,0.826,no
ἀπαμειβόμενος,grc,71,0.814,no
θυμὸς,grc,71,0.814,no
ὀδυσσῆος,grc,71,0.814,no
που,grc,71,0.814,no
ζεὺς,grc,70,0.803,no
θυμὸν,grc,70,0.803,no
ἵνα,grc,70,0.803,no
ἀνὴρ,grc,69,0.791,no
αὐτῷ,grc,69,0.791,no
ἐμοὶ,grc,69,0.791,no
θεῶν,grc,69,0.791,no
μνηστῆρες,grc,69,0.791,no
διὸς,grc,68,0.78,no
ἔργα,grc,68,0.78,no
φρεσὶ,grc,68,0.78,no
ἄλλοι,grc,67,0.768,no
πολύμητις,grc,67,0.768,no
ἀλλά,grc,66,0.757,yes
μῦθον,grc,65,0.746,no
νηὸς,grc,65,0.746,no
πατρὸς,grc,65,0.746,no
ῥα,grc,65,0.746,no
τοῖσιν,grc,65,0.746,no
ἀντίον,grc,64,0.734,no
κέ,grc,64,0.734,no
ἔπεα,grc,63,0.723,no
ἐπεί,grc,63,0.723,no
τά,grc,63,0.723,no
τοὺς,grc,63,0.723,no
αἰεὶ,grc,62,0.711,no
εὖ,grc,62,0.711,no
πρὶν,grc,62,0.711,no
τοὶ,grc,62,0.711,no
τοῖσι,grc,62,0.711,no
πατρίδα,grc,61,0.7,no
ἄλλος,grc,60,0.688,no
ἅμʼ,grc,60,0.688,no
θεὸς,grc,60,0.688,no
αὖτʼ,grc,59,0.677,no
κακὸν,grc,59,0.677,no
ὀδυσῆος,grc,59,0.677,no
πτερόεντα,grc,59,0.677,no
τότʼ,grc,59,0.677,no
πάντας,grc,58,0.665,no
πηνελόπεια,grc,58,0.665,no
εἴη,grc,57,0.654,no
ἑταίρους,grc,57,0.654,no
ὀδυσεὺς,grc,57,0.654,no
ηὔδα,grc,56,0.642,no
θαλάσσης,grc,56,0.642,no
μεγάροισιν,grc,56,0.642,no
χεῖρας,grc,56,0.642,no
ἀχαιῶν,grc,55,0.631,no
κατʼ,grc,55,0.631,no
ἤ,grc,54,0.619,no
μεγάροισι,grc,54,0.619,no
μετʼ,grc,54,0.619,no
αἱ,grc,53,0.608,no
ἀνθρώπων,grc,53,0.608,no
βῆ,grc,53,0.608,no
κέν,grc,53,0.608,no
μνηστῆρας,grc,53,0.608,no
πεπνυμένος,grc,53,0.608,no
σοὶ,grc,53,0.608,no
τῇ,grc,53,0.608,no
ἀνὰ,grc,52,0.596,no
ἑταῖροι,grc,52,0.596,no
νύ,grc,52,0.596,no
οἶνον,grc,52,0.596,no
γλαυκῶπις,grc,51,0.585,no
ἀτὰρ,grc,50,0.573,no
διὰ,grc,50,0.573,no
ὀδυσῆα,grc,50,0.573,no
οἶκον,grc,50,0.573,no
οἴκῳ,grc,50,0.573,no
ὃν,grc,50,0.573,no
πόντον,grc,50,0.573,no
σφιν,grc,50,0.573,no
τάδε,grc,50,0.573,no
τέ,grc,50,0.573,no
