form,doc,before,keyword,after,anchor
adbreuiatio,casanatensis,,adbreuiatio,"artis grammaticeIn this case the diphthong ""ae"" seems to be written with grapheme ""e"", not with grapheme ""e caudatum"", however the writing is too little legible to ascertain this. The use of ""e caudatum"" alternates with that of ""e"" in the whole text. ex diuersis doctoribus ab",w3
artis,casanatensis,adbreuiatio,artis,"grammaticeIn this case the diphthong ""ae"" seems to be written with grapheme ""e"", not with grapheme ""e caudatum"", however the writing is too little legible to ascertain this. The use of ""e caudatum"" alternates with that of ""e"" in the whole text. ex diuersis doctoribus ab urso",w6
artis,casanatensis,effectus plena quæ oratio dici potest,artis,eni2im concludunt ars uero est apprehensio,w625
artis,casanatensis,cogitatur erit ars qm¯quoniam ŋproprius locus,artis,in mente est cu2um uero scribitur,w705
"grammaticein this case the diphthong ""ae"" seems to be written with grapheme ""e"", not with grapheme ""e caudatum"", however the writing is too little legible to ascertain this. the use of ""e caudatum"" alternates with that of ""e"" in the whole text.",casanatensis,adbreuiatio artis,"grammaticeIn this case the diphthong ""ae"" seems to be written with grapheme ""e"", not with grapheme ""e caudatum"", however the writing is too little legible to ascertain this. The use of ""e caudatum"" alternates with that of ""e"" in the whole text.",ex diuersis doctoribus ab urso composita,w9
ex,casanatensis,"adbreuiatio artis grammaticeIn this case the diphthong ""ae"" seems to be written with grapheme ""e"", not with grapheme ""e caudatum"", however the writing is too little legible to ascertain this. The use of ""e caudatum"" alternates with that of ""e"" in the whole text.",ex,diuersis doctoribus ab urso composita dictio,w12
ex,casanatensis,minima pars quarta pars elinientoru2um oratio,ex,duob;bus corruptis composita est ab ore,w912
ex,casanatensis,suncategorema id est c¯consignificantia appellantur pronomen,ex,nomine origine2em trahit ¢quia ŋpronomen n¯non,w1122
ex,casanatensis,nomine nascitur ut doctus docte participiu2um,ex,nomine et uerbo nascitur unde et,w1218
ex,casanatensis,nos caremus dicebant infinitos articulos alii,ex,eis connumerabant articulos ŋpronominibus et articularia,w1431
ex,casanatensis,pronomina sed nomina dicenda sunt etsi,ex,eis aliqua declinantur sicut ŋpronomina n¯non,w2178
ex,casanatensis,est pars orationis ostenditur ee¯esse una,ex,octo partibus dicendo cu2um casu ostenditur,w3204
ex,casanatensis,ciuitas flumen mons corpus compositum est,ex,corrupto et integro cor a corde,w3603
ex,casanatensis,p¯preponebant similiter et sabini romanorum et,ex,illo tempore mansit c¯consuetudo ut nemo,w5259
ex,casanatensis,"ŋproprioru2umThe three final graphemes (""r"", ""u"" and the ""2""-like abbreviation mark above the ""u"") have been added above the line. species sunt in quib;bus tres",ex,his aut duæ aut una ï,w5712
ex,casanatensis,in una þpersona plus qua2am quattuor,ex,his accidentiis numerantur non putentur plus,w5991
ex,casanatensis,in ipso nomine etia2am illud neq;que,ex,illo nomen accepit sicut supra dicta,w7866
ex,casanatensis,filius gentis est þper qua2am ostenditur,ex,qua gente hortus sit ut grecus,w8136
ex,casanatensis,et patriu2um dicitur þper qua2am ostenditur,ex,qua hortus sit patria ut italicus,w8199
ex,casanatensis,ut primus prima primu2um undecimus duodecimus,ex,una parte declinantur tertius decimus uero,w9318
ex,casanatensis,uicesimus primus usq;que ad uicesimu2um nonu2um,ex,utraque parte declinantur more grecoru2um in,w9372
ex,casanatensis,"nongentesim;musThis is a fairly rare case in which the final "";"" abbreviation mark is used to mean a final ""-us"" morpheme. ul¯uel nongesimus millesimus habent latini",ex,omnib;bus numeris dispertiua quæ semþper pluralia,w9624
ex,casanatensis,septeni octoni noueni deni undeni duodeni,ex,integro et corrupto na2am terni deni,w9771
ex,casanatensis,na2am terni deni quomodo tertius decimus,ex,duob;bus integris similiter quaternideni ¢quinideni senideni,w9801
ex,casanatensis,et uerbum et subcenturiatus et centuriatus,ex,quo centuriata comitia et talia forma,w10146
ex,casanatensis,centuriata comitia et talia forma deriuata,ex,omni numero desinent in rius ut,w10170
ex,casanatensis,quib;bus singularis et dualis et aduerbia,ex,omni numero inueniunt¯tur ab uno et,w10398
ex,casanatensis,ad omnem rem dicuntur et uerba,ex,his duplico duplicas triplico triplicas multiplico,w10956
ex,casanatensis,ŋpropriis nominibus patru2um secundu2um greca2am forma2am,ex,¢quib;bus suæ generationis origine2em trahunt et,w12141
ex,casanatensis,dicti st¯sunt a primo cornelio omnes,ex,eiusde2em familia et possessiua loco patronymicoru2um,w12264
ex,casanatensis,ut eade2em terminatione dicatur ostendens alique2em,ex,"illius familia ta2amqua2amThe ""u"" is written above the line, with the pointy shape of modern ""v"". It is slightly different from the glyph that I encoded as an abbreviation mark as ""ų"" elsewhere, since in this word the added sign is not above the ""q"" but above the line between the ""q"" and the next ""a"". si ex illius",w12312
ex,casanatensis,"alique2em ex illius familia ta2amqua2amThe ""u"" is written above the line, with the pointy shape of modern ""v"". It is slightly different from the glyph that I encoded as an abbreviation mark as ""ų"" elsewhere, since in this word the added sign is not above the ""q"" but above the line between the ""q"" and the next ""a"". si",ex,illius possessione ali¢quid ostendatur ita eni2im,w12327
ex,casanatensis,diceretur emilianus equus aut aliud ali¢quid,ex,illius possessione sunt nomina ŋpropria quæ,w12396
ex,casanatensis,ŋproductu2um ante ne ut acrisios acrisione,ex,"quo possessiuo acrisioneis colonis ab acrisioneaKeil (Priscian, Ars grammatica, K 2.68.11, the direct source of this passage) chooses the reading ""ab Acrisione"", but in the apparatus criticus he mentions the reading ""acrisionea"" from codices H (""cod. bibl. gymn. Halberstadiensis, Lutherius Krehlii""), and r (""cod. bibl. imp. Paris. 7496"", second hand).",w14292
ex,casanatensis,tantu2um filios aut nepotes uel qui,ex,ipso genere ŋprocreati st¯sunt significant et,w14472
ex,casanatensis,eo quod plures credebant deos et,ex,eoru2um genere dicebant eorum iam hominum,w14604
ex,casanatensis,n¯non solum filios uel nepotes uel,ex,eo genere ŋprocreatos significat sed etia2am,w14685
ex,casanatensis,esse in possessione et non solum,ex,ŋpropriis sed etia2am ab appellatiuis deriuatur,w14733
ex,casanatensis,romanus ciuis dicitur sicut romanus ager,ex,eadem forma etia2am agnomina plurima fiunt,w14973
ex,casanatensis,gladius alia st¯sunt eiusdem formæ quæ,ex,materia principaliu2um c¯constare significantur ut ferreus,w15027
ex,casanatensis,ferro factus similiter aureus argenteus uel,ex,morbis ut cardiacus uel a ŋprofessionibus,w15063
ex,casanatensis,genitiuo deriuata una syll¯llaba uincunt ea,ex,quib;bus deriuantur et si primitiua illoru2um,w15339
ex,casanatensis,"de frumento agriaThe source (Priscian Ars grammatica, K 2.75.11) has ""agraria"". de agris alia",ex,his quas continent ut uinaria cella,w16824
ex,casanatensis,in possessiua significatione utuntur ut pompeianus,ex,his inuenitur in ¢quibusda2am a longu2um,w16929
ex,casanatensis,r aut l ut diurnus ficulnus,ex,quib;bus alia st¯sunt possessiua ut cesarianus,w17142
ex,casanatensis,cuius libet ŋpropriu2um eode2em modo ut petrus,ex,his multa st¯sunt quæ inueniuntur agnomina,w17304
ex,casanatensis,alia nomina uel agnomina ut adrianus,ex,his alia deriuantur a locis ut,w17349
ex,casanatensis,taurinus a tauro alia a materie,ex,qua constat ut humanus terrenus alia,w17490
ex,casanatensis,ut bini qua2am uis poetice singularia inueniantur,ex,his alia sunt a nominib;bus ut,w17568
ex,casanatensis,diphthongu2um uel in a similiter deriuatiua,ex,se faciunt a ante nus ul¯uel,w17820
ex,casanatensis,desinunt in cus ul¯uel culus faciunt,ex,se deriuatiua eusde2em formæ a longu2um,w17979
ex,casanatensis,disyllaba in cus desinentia n¯non faciunt,ex,se habentia a ante nus ut,w18075
ex,casanatensis,in um desinentia neutra consonante antecedente,ex,se faciunt deriiuatiua habentia a ante,w18126
ex,casanatensis,castellanus similiter pleraq;que tertiæ declinationis faciunt,ex,se habentia a ante nus ut,w18180
ex,casanatensis,fons fontis fontanus sol solis solanus,ex,quo sub solanus milo milonis milonianus piso,w18228
ex,casanatensis,miloninus et pisoninus lux lucis lucanus,ex,quo ante lucanus ideo pleraq;que dictu2um est,w18279
ex,casanatensis,animaliu2um cuiuscu2umq;que declinationis deriuantur qua2amuis alia,ex,eis in a desinant ut aþper,w18705
ex,casanatensis,significat magis aduerbiu2um cu2um intellectu positiui,ex,alterius conlatione alteru2um p¯preferre ostenditur hoc,w19974
ex,casanatensis,ultra ul¯uel intra aduerbia fit comparatio,ex,¢quib;bus deriuati uidentur sed ad þpersonas,w20196
ex,casanatensis,ultra aduerbia fiat comparatio ut etia2am,ex,ipsis comparatiuis nascantur aduerbia comparatiua quæ,w20334
ex,casanatensis,"deriuant¯turThere is also a macron over the first ""u"". I do not understand what it marks. a nominibus adiectiuis quæ sumuntur",ex,accidentib;bus substantiæ nominum ł accidentia st¯sunt,w20736
ex,casanatensis,corpore extrinsecus a a fortuna comparatio,ex,qualitate et quantitate animi ul¯uel corporis,w20787
ex,casanatensis,hector na2amq;que fuit troianus et diomedes,ex,alia gente et tunc abl¯ablatiuo plurali,w21843
ex,casanatensis,femininu2um in a neu¯neutrum in um,ex,genitiuo eoru2um fiunt co2omparatiua cor¯correpta i,w22290
ex,casanatensis,primitiui sui ut doctus docti doctior,ex,his uero quæ habent uocales ante,w22521
diuersis,casanatensis,"adbreuiatio artis grammaticeIn this case the diphthong ""ae"" seems to be written with grapheme ""e"", not with grapheme ""e caudatum"", however the writing is too little legible to ascertain this. The use of ""e caudatum"" alternates with that of ""e"" in the whole text. ex",diuersis,doctoribus ab urso composita dictio minima,w15
diuersis,casanatensis,potest hoc etia2am et in aliis,diuersis,operibus fit partes orationis secundu2um donatu2um,w742
diuersis,casanatensis,non potest sicut generalis quæ de,diuersis,potest ee¯esse facturis ea diuidi potest,w9009
diuersis,casanatensis,ab assideo ul¯uel asse assiduus et,diuersis,c¯consonantib;bus ante positis saxu2um saxosus spuma spumosus,w31995
doctoribus,casanatensis,"adbreuiatio artis grammaticeIn this case the diphthong ""ae"" seems to be written with grapheme ""e"", not with grapheme ""e caudatum"", however the writing is too little legible to ascertain this. The use of ""e caudatum"" alternates with that of ""e"" in the whole text. ex diuersis",doctoribus,ab urso composita dictio minima pars,w18
ab,casanatensis,"adbreuiatio artis grammaticeIn this case the diphthong ""ae"" seems to be written with grapheme ""e"", not with grapheme ""e caudatum"", however the writing is too little legible to ascertain this. The use of ""e caudatum"" alternates with that of ""e"" in the whole text. ex diuersis doctoribus",ab,urso composita dictio minima pars est,w21
ab,casanatensis,cu2um aliquid intellectu et ratione segregatur,ab,aliqųquo diuidere est diuiditur et traditio,w858
