form,lang,count,per_thousand,stopword
et,grc,650,45.585,no
in,grc,501,35.136,no
ut,grc,453,31.769,no
a,grc,303,21.25,no
est,grc,188,13.185,no
ul¯uel,grc,176,12.343,no
quæ,grc,112,7.855,no
ex,grc,98,6.873,no
n¯non,grc,97,6.803,no
i,grc,95,6.662,no
st¯sunt,grc,91,6.382,no
ante,grc,75,5.26,no
uel,grc,74,5.19,no
si,grc,71,4.979,no
ab,grc,70,4.909,no
alia,grc,69,4.839,no
ŋpro,grc,64,4.488,no
sed,grc,63,4.418,no
desinentia,grc,61,4.278,no
quod,grc,61,4.278,no
ad,grc,55,3.857,no
¢quia,grc,54,3.787,no
aut,grc,54,3.787,no
hoc,grc,51,3.577,no
ł,grc,51,3.577,no
cu2um,grc,48,3.366,no
hæc,grc,47,3.296,no
qua2am,grc,46,3.226,no
ï,grc,45,3.156,no
e,grc,44,3.086,no
potest,grc,44,3.086,no
nomina,grc,43,3.016,no
similiter,grc,43,3.016,no
species,grc,43,3.016,no
habent,grc,40,2.805,no
nomen,grc,40,2.805,no
faciunt,grc,39,2.735,no
us,grc,39,2.735,no
fiunt,grc,37,2.595,no
etia2am,grc,35,2.455,no
id,grc,35,2.455,no
sunt,grc,35,2.455,no
hab¯abent,grc,34,2.384,no
de,grc,33,2.314,no
denominatiua,grc,32,2.244,no
non,grc,32,2.244,no
þper,grc,32,2.244,no
his,grc,30,2.104,no
declinationis,grc,29,2.034,no
fit,grc,29,2.034,no
uerbis,grc,29,2.034,no
÷est,grc,28,1.964,no
diminutiua,grc,28,1.964,no
penultimu2um,grc,28,1.964,no
unde,grc,28,1.964,no
secundu2um,grc,27,1.894,no
una,grc,27,1.894,no
longu2um,grc,26,1.823,no
siue,grc,25,1.753,no
similia,grc,24,1.683,no
ueniunt,grc,24,1.683,no
eni2im,grc,23,1.613,no
formæ,grc,23,1.613,no
inueniuntur,grc,23,1.613,no
na2am,grc,23,1.613,no
omnia,grc,23,1.613,no
apud,grc,22,1.543,no
eo,grc,22,1.543,no
er,grc,22,1.543,no
nus,grc,22,1.543,no
secundæ,grc,22,1.543,no
sicut,grc,22,1.543,no
deriuantur,grc,21,1.473,no
sine,grc,21,1.473,no
¢qui,grc,20,1.403,no
deriuatiua,grc,20,1.403,no
magis,grc,20,1.403,no
nominib;bus,grc,20,1.403,no
pars,grc,20,1.403,no
qd¯quod,grc,20,1.403,no
se,grc,20,1.403,no
tertiæ,grc,20,1.403,no
unu2um,grc,20,1.403,no
aliis,grc,19,1.332,no
ea,grc,19,1.332,no
genitiuo,grc,19,1.332,no
is,grc,19,1.332,no
nominibus,grc,19,1.332,no
quo,grc,19,1.332,no
significat,grc,19,1.332,no
tantu2um,grc,19,1.332,no
u,grc,19,1.332,no
uero,grc,19,1.332,no
eoru2um,grc,18,1.262,no
facit,grc,18,1.262,no
hic,grc,18,1.262,no
nomine,grc,18,1.262,no
primus,grc,18,1.262,no
quando,grc,18,1.262,no
dici,grc,17,1.192,no
nec,grc,17,1.192,no
o,grc,17,1.192,no
primitiua,grc,17,1.192,no
quoru2um,grc,17,1.192,no
um,grc,17,1.192,no
dicitur,grc,16,1.122,no
homo,grc,16,1.122,no
nominatiuo,grc,16,1.122,no
ŋproductu2um,grc,16,1.122,no
positiuo,grc,16,1.122,no
sit,grc,16,1.122,no
antecedente,grc,15,1.052,no
desinunt,grc,15,1.052,no
dicta,grc,15,1.052,no
filius,grc,15,1.052,no
