position,doc,lang,form,lemma,anchor
0,casanatensis,,adbreuiatio,,w3
1,casanatensis,,artis,,w6
2,casanatensis,,"grammaticeIn this case the diphthong ""ae"" seems to be written with grapheme ""e"", not with grapheme ""e caudatum"", however the writing is too little legible to ascertain this. The use of ""e caudatum"" alternates with that of ""e"" in the whole text.",,w9
3,casanatensis,,ex,,w12
4,casanatensis,,diuersis,,w15
5,casanatensis,,doctoribus,,w18
6,casanatensis,,ab,,w21
7,casanatensis,,urso,,w24
8,casanatensis,,composita,,w27
9,casanatensis,,dictio,,w30
10,casanatensis,,minima,,w33
11,casanatensis,,pars,,w36
12,casanatensis,,est,,w42
13,casanatensis,,constructe,,w45
14,casanatensis,,orationis,,w48
15,casanatensis,,constructe,,w51
16,casanatensis,,id,,w54
17,casanatensis,,est,,w57
18,casanatensis,,composite,,w60
19,casanatensis,,in,,w63
20,casanatensis,,ordine2em,,w66
21,casanatensis,,minima,,w69
22,casanatensis,,pars,,w72
23,casanatensis,,est,,w75
24,casanatensis,,quantu8um,,w78
25,casanatensis,,þpertinet,,w81
26,casanatensis,,ad,,w84
27,casanatensis,,sensu8um,,w87
28,casanatensis,,totius,,w90
29,casanatensis,,intellectus,,w96
30,casanatensis,,differt,,w99
31,casanatensis,,dictio,,w102
32,casanatensis,,a,,w105
33,casanatensis,,syllaba,,w108
34,casanatensis,,qm¯quoniam,,w111
35,casanatensis,,syllaba,,w114
36,casanatensis,,pars,,w117
37,casanatensis,,dictionis,,w120
38,casanatensis,,est,,w123
39,casanatensis,,et,,w126
40,casanatensis,,¢quia,,w129
41,casanatensis,,dictio,,w132
42,casanatensis,,a,,w135
43,casanatensis,,dicendo,,w138
44,casanatensis,,hoc,,w141
45,casanatensis,,est,,w144
46,casanatensis,,intellegendo,,w147
47,casanatensis,,dicta,,w150
48,casanatensis,,est,,w153
49,casanatensis,,þper,,w156
50,casanatensis,,se,,w159
51,casanatensis,,eni2im,,w162
52,casanatensis,,significat,,w165
53,casanatensis,,ali¢quid,,w168
54,casanatensis,,syllaba,,w171
55,casanatensis,,uero,,w174
56,casanatensis,,nu8umqua8am,,w177
57,casanatensis,,þper,,w180
58,casanatensis,,se,,w183
59,casanatensis,,significat,,w186
60,casanatensis,,ali¢quid,,w189
61,casanatensis,,monosyllabæ,,w192
62,casanatensis,,dictio,,w195
63,casanatensis,,id,,w198
64,casanatensis,,est,,w201
65,casanatensis,,unius,,w204
66,casanatensis,,syllabæ,,w207
67,casanatensis,,dictio,,w210
68,casanatensis,,potest,,w213
69,casanatensis,,dici,,w216
70,casanatensis,,syllaba,,w219
71,casanatensis,,sed,,w222
72,casanatensis,,n¯non,,w225
73,casanatensis,,sincere,,w228
74,casanatensis,,eo,,w231
75,casanatensis,,quod,,w243
76,casanatensis,,quod,,w234
77,casanatensis,,syllaba,,w237
78,casanatensis,,n¯non,,w240
79,casanatensis,,significat,,w246
80,casanatensis,,aliquid,,w249
81,casanatensis,,na8am,,w252
82,casanatensis,,cu8um,,w255
83,casanatensis,,dico,,w258
84,casanatensis,,a,,w261
85,casanatensis,,nec,,w264
86,casanatensis,,tenore2em,,w267
87,casanatensis,,eius,,w270
88,casanatensis,,nec,,w273
89,casanatensis,,tempora,,w276
90,casanatensis,,nec,,w279
91,casanatensis,,sr¯spiritum,,w282
92,casanatensis,,nec,,w285
93,casanatensis,,significatione2em,,w288
94,casanatensis,,agnosco,,w291
95,casanatensis,,donec,,w294
96,casanatensis,,agnouero,,w298
97,casanatensis,,dictione2em,,w300
98,casanatensis,,in,,w303
99,casanatensis,,qua,,w306
100,casanatensis,,ponitur,,w309
101,casanatensis,,na2am,,w312
102,casanatensis,,in,,w315
103,casanatensis,,ara,,w318
104,casanatensis,,"deo ru8umThere are signs written above the line that I do not understand: a possible macron above the (very hardly legible) ""d"" and another sign in the space between ""deo"" and ""rum"", that might simply mean that the two parts of the word, though written separately, should be read together. The direct source here is Priscian, Ars grammatica, K 2.53.20-21, which has ""in 'ara' deorum, 'a' paenultima producitur"".",,w319
105,casanatensis,,a,,w321
106,casanatensis,,pænultima,,w324
107,casanatensis,,ŋproducitur,,w327
108,casanatensis,,et,,w330
109,casanatensis,,circu2um flectitur,,w333
110,casanatensis,,in,,w336
111,casanatensis,,nominatiuo,,w339
112,casanatensis,,et,,w342
113,casanatensis,,n¯non,,w345
114,casanatensis,,habet,,w348
115,casanatensis,,aspiratione8em,,w351
116,casanatensis,,quando,,w354
117,casanatensis,,significat,,w357
118,casanatensis,,stabulu8um,,w360
119,casanatensis,,porcorum,,w363
120,casanatensis,,penultima,,w366
121,casanatensis,,a,,w369
122,casanatensis,,corripitur,,w372
123,casanatensis,,et,,w375
124,casanatensis,,acuitur,,w378
125,casanatensis,,et,,w381
126,casanatensis,,habet,,w384
127,casanatensis,,aspiratione8em,,w387
128,casanatensis,,quando,,w390
