form,lang,count,per_thousand,stopword
in,la,4,37.736,yes
et,la,3,28.302,yes
ut,la,3,28.302,yes
cum,la,2,18.868,yes
dolor,la,2,18.868,no
dolore,la,2,18.868,no
est,la,2,18.868,yes
id,la,2,18.868,yes
libero,la,2,18.868,no
lorem,la,2,18.868,no
nam,la,2,18.868,no
soluta,la,2,18.868,no
tempore,la,2,18.868,no
ad,la,1,9.434,yes
adipiscing,la,1,9.434,no
aliqua,la,1,9.434,no
amet,la,1,9.434,no
anim,la,1,9.434,no
applausi,la,1,9.434,no
aut,la,1,9.434,yes
aute,la,1,9.434,no
autem,la,1,9.434,yes
cillum,la,1,9.434,no
colpo,la,1,9.434,no
consectetur,la,1,9.434,no
culpa,la,1,9.434,no
cumque,la,1,9.434,no
cupidatat,la,1,9.434,no
debitis,la,1,9.434,no
deserunt,la,1,9.434,no
di,la,1,9.434,no
do,la,1,9.434,no
duis,la,1,9.434,no
eiusmod,la,1,9.434,no
eligendi,la,1,9.434,no
elit,la,1,9.434,no
enim,la,1,9.434,yes
esse,la,1,9.434,yes
eu,la,1,9.434,no
eveniet,la,1,9.434,no
excepteur,la,1,9.434,no
exercitation,la,1,9.434,no
fugiat,la,1,9.434,no
impedit,la,1,9.434,no
incididunt,la,1,9.434,no
ipsum,la,1,9.434,no
irure,la,1,9.434,no
labore,la,1,9.434,no
laborum,la,1,9.434,no
magna,la,1,9.434,no
maxime,la,1,9.434,no
minim,la,1,9.434,no
minus,la,1,9.434,no
mollit,la,1,9.434,no
nihil,la,1,9.434,no
nobis,la,1,9.434,no
non,la,1,9.434,yes
nostrud,la,1,9.434,no
nulla,la,1,9.434,no
occaecat,la,1,9.434,no
officia,la,1,9.434,no
officiis,la,1,9.434,no
optio,la,1,9.434,no
pariatur,la,1,9.434,no
placeat,la,1,9.434,no
proident,la,1,9.434,no
qui,la,1,9.434,yes
quibusdam,la,1,9.434,no
quis,la,1,9.434,no
quo,la,1,9.434,no
quod,la,1,9.434,yes
reprehenderit,la,1,9.434,no
ride,la,1,9.434,no
saepe,la,1,9.434,no
sed,la,1,9.434,yes
sint,la,1,9.434,no
sit,la,1,9.434,no
squilla,la,1,9.434,no
sunt,la,1,9.434,yes
telefono,la,1,9.434,no
tempor,la,1,9.434,no
temporibus,la,1,9.434,no
tosse,la,1,9.434,no
ullamco,la,1,9.434,no
un,la,1,9.434,no
velit,la,1,9.434,no
venetiis,la,1,9.434,no
veniam,la,1,9.434,no
voluptate,la,1,9.434,no
