position,doc,lang,form,lemma,anchor
0,parlato,la,Lorem,,u1
1,parlato,la,ipsum,,u1
2,parlato,la,dolor,,u1
3,parlato,la,sit,,u1
4,parlato,la,amet,,u1
5,parlato,la,consectetur,,u1
6,parlato,la,adipiscing,,u1
7,parlato,la,elit,,u1
8,parlato,la,Sed,,u1
9,parlato,la,do,,u1
10,parlato,la,eiusmod,,u1
11,parlato,la,tempor,,u1
12,parlato,la,incididunt,,u1
13,parlato,la,ride,,parlato:0.1.0.1.2.0
14,parlato,la,ut,,u1
15,parlato,la,labore,,u1
16,parlato,la,et,,u1
17,parlato,la,dolore,,u1
18,parlato,la,magna,,u1
19,parlato,la,aliqua,,u1
20,parlato,la,Ut,,u2
21,parlato,la,enim,,u2
22,parlato,la,ad,,u2
23,parlato,la,minim,,u2
24,parlato,la,veniam,,u2
25,parlato,la,quis,,u2
26,parlato,la,nostrud,,u2
27,parlato,la,exercitation,,u2
28,parlato,la,ullamco,,u2
29,parlato,la,squilla,,parlato:0.1.0.2.1.0
30,parlato,la,un,,parlato:0.1.0.2.1.0
31,parlato,la,telefono,,parlato:0.1.0.2.1.0
32,parlato,la,Duis,,u2
33,parlato,la,aute,,u2
34,parlato,la,irure,,u2
35,parlato,la,dolor,,u2
36,parlato,la,in,,u2
37,parlato,la,Venetiis,,parlato:0.1.0.2.3
38,parlato,la,in,,u2
39,parlato,la,reprehenderit,,u2
40,parlato,la,in,,u2
41,parlato,la,voluptate,,u2
42,parlato,la,Velit,,u3
43,parlato,la,esse,,u3
44,parlato,la,cillum,,u3
45,parlato,la,dolore,,u3
46,parlato,la,eu,,u3
47,parlato,la,fugiat,,u3
48,parlato,la,nulla,,u3
49,parlato,la,pariatur,,u3
50,parlato,la,Excepteur,,u3
51,parlato,la,sint,,u3
52,parlato,la,occaecat,,u3
53,parlato,la,cupidatat,,u3
54,parlato,la,non,,u3
55,parlato,la,proident,,parlato:0.1.0.3.2
56,parlato,la,sunt,,u3
57,parlato,la,in,,u3
58,parlato,la,culpa,,u3
59,parlato,la,qui,,u3
60,parlato,la,officia,,u3
61,parlato,la,deserunt,,u3
62,parlato,la,Mollit,,u4
63,parlato,la,anim,,u4
64,parlato,la,id,,u4
65,parlato,la,est,,u4
66,parlato,la,laborum,,u4
67,parlato,la,Nam,,u4
68,parlato,la,libero,,u4
69,parlato,la,tempore,,u4
70,parlato,la,cum,,u4
71,parlato,la,soluta,,u4
72,parlato,la,nobis,,u4
73,parlato,la,est,,u4
74,parlato,la,eligendi,,u4
75,parlato,la,Optio,,u5
76,parlato,la,cumque,,u5
77,parlato,la,nihil,,u5
78,parlato,la,impedit,,u5
79,parlato,la,quo,,u5
80,parlato,la,minus,,u5
81,parlato,la,id,,u5
82,parlato,la,quod,,u5
83,parlato,la,maxime,,u5
84,parlato,la,placeat,,u5
85,parlato,la,colpo,,parlato:0.1.0.5.1.0
86,parlato,la,di,,parlato:0.1.0.5.1.0
87,parlato,la,tosse,,parlato:0.1.0.5.1.0
88,parlato,la,Temporibus,,u5
89,parlato,la,autem,,u5
90,parlato,la,quibusdam,,u5
91,parlato,la,et,,u5
92,parlato,la,aut,,u5
93,parlato,la,officiis,,u5
94,parlato,la,debitis,,u5
95,parlato,la,ut,,u5
96,parlato,la,et,,u5
97,parlato,la,Lorem,,parlato:0.1.0.5.3
98,parlato,la,saepe,,u5
99,parlato,la,eveniet,,u5
100,parlato,la,applausi,,parlato:0.1.0.6.0.0
101,parlato,la,Nam,,u6
102,parlato,la,libero,,u6
103,parlato,la,tempore,,u6
104,parlato,la,cum,,u6
105,parlato,la,soluta,,u6
