register,entry,lemma,reading,witnesses,source,resp,cert,type,isLemma
substantive,chronicon:0.1.1.0.1.1,de etatibus,de etatibus,g,,,,,true
substantive,chronicon:0.1.1.0.1.1,de etatibus,,a,,,,,false
substantive,chronicon:0.1.1.0.5.2,XIV,XIV,g,,,,,true
substantive,chronicon:0.1.1.0.5.2,XIV,XIII,a,,,,,false
substantive,chronicon:0.1.1.0.6.2,etate,etate,g,,,,,true
substantive,chronicon:0.1.1.0.6.2,etate,etati,a,,,,,false
substantive,chronicon:0.1.1.0.7.0,ad,ad,g,,,,,true
substantive,chronicon:0.1.1.0.7.0,ad,in,a,,,,,false
substantive,chronicon:0.1.1.0.9.2,uicesimum,uicesimum,a,,,,,true
substantive,chronicon:0.1.1.0.9.2,uicesimum,uicesimus,g,,,,,false
substantive,chronicon:0.1.1.0.10.1,,,g,,,,,true
substantive,chronicon:0.1.1.0.10.1,,et,a,,,,,false
substantive,chronicon:0.1.1.0.10.2,celos,celos,g,,,,,true
substantive,chronicon:0.1.1.0.10.2,celos,,a,,,,,false
substantive,chronicon:0.1.1.0.10.3,"appellatione firmamenti, tertia die in","appellatione firmamenti, tertia die in",g,,,,,true
substantive,chronicon:0.1.1.0.10.3,"appellatione firmamenti, tertia die in",,a,,,,,false
substantive,chronicon:0.1.1.1.3.0,annos,annos,g,,,,,true
substantive,chronicon:0.1.1.1.3.0,annos,annum,a,,,,,false
substantive,chronicon:0.1.1.1.4.0,natiuitatis,natiuitatis,a,,,,,true
substantive,chronicon:0.1.1.1.4.0,natiuitatis,natiuitates,g,,,,,false
substantive,chronicon:0.1.1.1.6.0,Malalehel,Malalehel,a,,,,,true
substantive,chronicon:0.1.1.1.6.0,Malalehel,Malahelel,g,,,,,false
substantive,chronicon:0.1.1.1.8.2,Augustinus,Augustinus,g,,,,,true
substantive,chronicon:0.1.1.1.8.2,Augustinus,Agustinus,a,,,,,false
substantive,chronicon:0.1.1.1.8.5,continent,continent,g,,,,,true
substantive,chronicon:0.1.1.1.8.5,continent,comtinet,a,,,,,false
