form,doc,before,keyword,after,anchor
l'incipit,specimen,,L'incipit,con apparato dimostrativo Musa quell'uom di,specimen:0.1.0.0.0
con,specimen,L'incipit,con,apparato dimostrativo Musa quell'uom di multiforme,specimen:0.1.0.0.0
apparato,specimen,L'incipit con,apparato,dimostrativo Musa quell'uom di multiforme ingegno,specimen:0.1.0.0.0
dimostrativo,specimen,L'incipit con apparato,dimostrativo,Musa quell'uom di multiforme ingegno dimmi,specimen:0.1.0.0.0
musa,specimen,L'incipit con apparato dimostrativo,Musa,quell'uom di multiforme ingegno dimmi che,specimen:0.1.0.0.1.0.0
quell'uom,specimen,L'incipit con apparato dimostrativo Musa,quell'uom,di multiforme ingegno dimmi che molto,specimen:0.1.0.0.1.0
di,specimen,L'incipit con apparato dimostrativo Musa quell'uom,di,multiforme ingegno dimmi che molto errò,specimen:0.1.0.0.1.0
di,specimen,abbreviazione col suo scioglimento un passo,di,lettura incerta una parola integrata e,specimen:0.1.0.0.3.1
di,specimen,una parola integrata e il nome,di,Odisseo che punta al registro come,specimen:0.1.0.0.3
multiforme,specimen,con apparato dimostrativo Musa quell'uom di,multiforme,ingegno dimmi che molto errò poich'ebbe,specimen:0.1.0.0.1.0.1.0
ingegno,specimen,apparato dimostrativo Musa quell'uom di multiforme,ingegno,dimmi che molto errò poich'ebbe a,specimen:0.1.0.0.1.0
dimmi,specimen,dimostrativo Musa quell'uom di multiforme ingegno,dimmi,che molto errò poich'ebbe a terra,specimen:0.1.0.0.1.1
che,specimen,Musa quell'uom di multiforme ingegno dimmi,che,molto errò poich'ebbe a terra gittate,specimen:0.1.0.0.1.1
che,specimen,gittate d Ilïòn le sacre torri,che,città vide molte e delle genti,specimen:0.1.0.0.1.3
che,specimen,e delle genti l indol conobbe,che,sovr'esso il mare molti dentro del,specimen:0.1.0.0.1.4
che,specimen,integrata e il nome di Odisseo,che,punta al registro come Itaca alla,specimen:0.1.0.0.3
molto,specimen,quell'uom di multiforme ingegno dimmi che,molto,errò poich'ebbe a terra gittate d,specimen:0.1.0.0.1.1
errò,specimen,di multiforme ingegno dimmi che molto,errò,poich'ebbe a terra gittate d Ilïòn,specimen:0.1.0.0.1.1
poich'ebbe,specimen,multiforme ingegno dimmi che molto errò,poich'ebbe,a terra gittate d Ilïòn le,specimen:0.1.0.0.1.1
a,specimen,ingegno dimmi che molto errò poich'ebbe,a,terra gittate d Ilïòn le sacre,specimen:0.1.0.0.1.1
a,specimen,dentro del cor sofferse affanni mentre,a,redimer cercava a sé la vita,specimen:0.1.0.0.1.6
a,specimen,sofferse affanni mentre a redimer cercava,a,sé la vita e il ritorno,specimen:0.1.0.0.1.6
a,specimen,sé la vita e il ritorno,a,compagni Una pagina d'autore per mostrare,specimen:0.1.0.0.1.7
terra,specimen,dimmi che molto errò poich'ebbe a,terra,gittate d Ilïòn le sacre torri,specimen:0.1.0.0.1.1
gittate,specimen,che molto errò poich'ebbe a terra,gittate,d Ilïòn le sacre torri che,specimen:0.1.0.0.1.2
d,specimen,molto errò poich'ebbe a terra gittate,d,Ilïòn le sacre torri che città,specimen:0.1.0.0.1.2
ilïòn,specimen,errò poich'ebbe a terra gittate d,Ilïòn,le sacre torri che città vide,specimen:0.1.0.0.1.2.0
le,specimen,poich'ebbe a terra gittate d Ilïòn,le,sacre torri che città vide molte,specimen:0.1.0.0.1.2
sacre,specimen,a terra gittate d Ilïòn le,sacre,torri che città vide molte e,specimen:0.1.0.0.1.2
torri,specimen,terra gittate d Ilïòn le sacre,torri,che città vide molte e delle,specimen:0.1.0.0.1.2
città,specimen,d Ilïòn le sacre torri che,città,vide molte e delle genti l,specimen:0.1.0.0.1.3
vide,specimen,Ilïòn le sacre torri che città,vide,molte e delle genti l indol,specimen:0.1.0.0.1.3
molte,specimen,le sacre torri che città vide,molte,e delle genti l indol conobbe,specimen:0.1.0.0.1.3
e,specimen,sacre torri che città vide molte,e,delle genti l indol conobbe che,specimen:0.1.0.0.1.3
e,specimen,redimer cercava a sé la vita,e,il ritorno a compagni Una pagina,specimen:0.1.0.0.1.7
e,specimen,stratigrafia la sera scendeva sul paese,e,lentamente il vento si placava Nel,specimen:0.1.0.0.2
e,specimen,di lettura incerta una parola integrata,e,il nome di Odisseo che punta,specimen:0.1.0.0.3
delle,specimen,torri che città vide molte e,delle,genti l indol conobbe che sovr'esso,specimen:0.1.0.0.1.3
