form,lang,count,per_thousand,stopword
a,it,4,37.037,yes
che,it,4,37.037,yes
e,it,4,37.037,yes
il,it,4,37.037,yes
la,it,4,37.037,yes
di,it,3,27.778,yes
una,it,2,18.519,yes
abbreviazione,it,1,9.259,no
affanni,it,1,9.259,no
al,it,1,9.259,yes
alla,it,1,9.259,yes
anche,it,1,9.259,no
apparato,it,1,9.259,no
cercava,it,1,9.259,no
città,it,1,9.259,no
col,it,1,9.259,no
come,it,1,9.259,yes
compagni,it,1,9.259,no
con,it,1,9.259,yes
conobbe,it,1,9.259,no
cor,it,1,9.259,no
d,it,1,9.259,no
d'autore,it,1,9.259,no
del,it,1,9.259,yes
delle,it,1,9.259,yes
dentro,it,1,9.259,no
dimmi,it,1,9.259,no
dimostrativo,it,1,9.259,no
errò,it,1,9.259,no
genti,it,1,9.259,no
gittate,it,1,9.259,no
ilïòn,it,1,9.259,no
in,it,1,9.259,yes
incerta,it,1,9.259,no
indol,it,1,9.259,no
ingegno,it,1,9.259,no
integrata,it,1,9.259,no
itaca,it,1,9.259,no
l,it,1,9.259,no
l'incipit,it,1,9.259,no
le,it,1,9.259,yes
lentamente,it,1,9.259,no
lettura,it,1,9.259,no
lo,it,1,9.259,yes
mappa,it,1,9.259,no
mare,it,1,9.259,no
mentre,it,1,9.259,no
molte,it,1,9.259,no
molti,it,1,9.259,no
molto,it,1,9.259,no
mostra,it,1,9.259,no
mostrare,it,1,9.259,no
multiforme,it,1,9.259,no
musa,it,1,9.259,no
nel,it,1,9.259,yes
nome,it,1,9.259,no
odisseo,it,1,9.259,no
paese,it,1,9.259,no
pagina,it,1,9.259,no
parola,it,1,9.259,no
passo,it,1,9.259,no
per,it,1,9.259,yes
placava,it,1,9.259,no
poich'ebbe,it,1,9.259,no
prosa,it,1,9.259,no
punta,it,1,9.259,no
quell'uom,it,1,9.259,no
redimer,it,1,9.259,no
registro,it,1,9.259,no
ritorno,it,1,9.259,no
sacre,it,1,9.259,no
scendeva,it,1,9.259,no
scioglimento,it,1,9.259,no
sé,it,1,9.259,no
sera,it,1,9.259,no
si,it,1,9.259,yes
signora,it,1,9.259,no
sofferse,it,1,9.259,no
sovr'esso,it,1,9.259,no
specimen,it,1,9.259,no
stratigrafia,it,1,9.259,no
sul,it,1,9.259,yes
suo,it,1,9.259,no
terra,it,1,9.259,no
testo,it,1,9.259,no
torri,it,1,9.259,no
un,it,1,9.259,yes
vento,it,1,9.259,no
vide,it,1,9.259,no
vita,it,1,9.259,no
