position,doc,lang,form,lemma,anchor
0,specimen,it,L'incipit,,specimen:0.1.0.0.0
1,specimen,it,con,,specimen:0.1.0.0.0
2,specimen,it,apparato,,specimen:0.1.0.0.0
3,specimen,it,dimostrativo,,specimen:0.1.0.0.0
4,specimen,it,Musa,,specimen:0.1.0.0.1.0.0
5,specimen,it,quell'uom,,specimen:0.1.0.0.1.0
6,specimen,it,di,,specimen:0.1.0.0.1.0
7,specimen,it,multiforme,,specimen:0.1.0.0.1.0.1.0
8,specimen,it,ingegno,,specimen:0.1.0.0.1.0
9,specimen,it,dimmi,,specimen:0.1.0.0.1.1
10,specimen,it,che,,specimen:0.1.0.0.1.1
11,specimen,it,molto,,specimen:0.1.0.0.1.1
12,specimen,it,errò,,specimen:0.1.0.0.1.1
13,specimen,it,poich'ebbe,,specimen:0.1.0.0.1.1
14,specimen,it,a,,specimen:0.1.0.0.1.1
15,specimen,it,terra,,specimen:0.1.0.0.1.1
16,specimen,it,gittate,,specimen:0.1.0.0.1.2
17,specimen,it,d,,specimen:0.1.0.0.1.2
18,specimen,it,Ilïòn,,specimen:0.1.0.0.1.2.0
19,specimen,it,le,,specimen:0.1.0.0.1.2
20,specimen,it,sacre,,specimen:0.1.0.0.1.2
21,specimen,it,torri,,specimen:0.1.0.0.1.2
22,specimen,it,che,,specimen:0.1.0.0.1.3
23,specimen,it,città,,specimen:0.1.0.0.1.3
24,specimen,it,vide,,specimen:0.1.0.0.1.3
25,specimen,it,molte,,specimen:0.1.0.0.1.3
26,specimen,it,e,,specimen:0.1.0.0.1.3
27,specimen,it,delle,,specimen:0.1.0.0.1.3
28,specimen,it,genti,,specimen:0.1.0.0.1.3
29,specimen,it,l,,specimen:0.1.0.0.1.4
30,specimen,it,indol,,specimen:0.1.0.0.1.4.0.0
31,specimen,it,conobbe,,specimen:0.1.0.0.1.4
32,specimen,it,che,,specimen:0.1.0.0.1.4
33,specimen,it,sovr'esso,,specimen:0.1.0.0.1.4
34,specimen,it,il,,specimen:0.1.0.0.1.4
35,specimen,it,mare,,specimen:0.1.0.0.1.4
36,specimen,it,molti,,specimen:0.1.0.0.1.5
37,specimen,it,dentro,,specimen:0.1.0.0.1.5
38,specimen,it,del,,specimen:0.1.0.0.1.5
39,specimen,it,cor,,specimen:0.1.0.0.1.5
40,specimen,it,sofferse,,specimen:0.1.0.0.1.5
41,specimen,it,affanni,,specimen:0.1.0.0.1.5
42,specimen,it,mentre,,specimen:0.1.0.0.1.6
43,specimen,it,a,,specimen:0.1.0.0.1.6
44,specimen,it,redimer,,specimen:0.1.0.0.1.6.1
45,specimen,it,cercava,,specimen:0.1.0.0.1.6
46,specimen,it,a,,specimen:0.1.0.0.1.6
47,specimen,it,sé,,specimen:0.1.0.0.1.6
48,specimen,it,la,,specimen:0.1.0.0.1.6
49,specimen,it,vita,,specimen:0.1.0.0.1.6
50,specimen,it,e,,specimen:0.1.0.0.1.7
51,specimen,it,il,,specimen:0.1.0.0.1.7
52,specimen,it,ritorno,,specimen:0.1.0.0.1.7
53,specimen,it,a,,specimen:0.1.0.0.1.7
