type,id,label,occurrences,lat,lon
person,442 443,442 443,12,,
person,642 643,642 643,11,,
person,524 526,524 526,8,,
person,442,442,3,,
person,443,443,1,,
person,642,642,4,,
person,643,643,1,,
person,768,768,3,,
person,760,760,11,,
person,459,459,2,,
person,1924,1924,2,,
person,761,761,13,,
person,526,526,24,,
person,624,624,16,,
person,399,399,21,,
person,1613,1613,15,,
person,423,423,7,,
person,1069,1069,14,,
person,313,313,2,,
person,526 524,526 524,2,,
person,401,401,7,,
person,407,407,1,,
person,1422,1422,2,,
person,971,971,3,,
person,1615,1615,1,,
person,348,348,1,,
person,422,422,5,,
person,950,950,5,,
person,1368,1368,2,,
person,1323,1323,2,,
person,412,412,25,,
person,13,13,10,,
person,1616,1616,1,,
person,41,41,2,,
person,461,461,6,,
person,802,802,5,,
person,524,524,12,,
person,1348,1348,2,,
person,788,788,2,,
person,787,787,10,,
person,787 788,787 788,7,,
person,789,789,7,,
person,547,547,5,,
person,1617,1617,1,,
person,537,537,4,,
person,762,762,2,,
person,7,7,1,,
person,1180,1180,3,,
person,1227,1227,3,,
person,878,878,7,,
person,945,945,1,,
person,992,992,2,,
person,976,976,3,,
person,1296,1296,3,,
person,1036,1036,1,,
person,1396,1396,2,,
person,1394,1394,8,,
person,1423,1423,2,,
person,1087,1087,1,,
person,1424,1424,3,,
person,1140,1140,3,,
person,902,902,4,,
person,898,898,2,,
person,1201 1202 1203,1201 1202 1203,1,,
person,1347,1347,2,,
person,1120,1120,2,,
person,1449,1449,2,,
person,323,323,10,,
person,1443,1443,6,,
person,1579,1579,1,,
person,1618,1618,1,,
person,1599,1599,1,,
person,1203,1203,6,,
person,1202,1202,7,,
person,1201,1201,2,,
person,680,680,4,,
person,767,767,2,,
person,112,112,2,,
person,1433 1434,1433 1434,1,,
person,1452,1452,2,,
person,947,947,2,,
person,1034,1034,2,,
person,1340,1340,2,,
person,1377,1377,2,,
person,1289,1289,2,,
person,1226,1226,5,,
person,1191,1191,1,,
person,1606,1606,1,,
person,497,497,1,,
person,498,498,2,,
person,1434,1434,1,,
person,1433,1433,1,,
person,1276,1276,1,,
person,1137,1137,1,,
person,40,40,3,,
person,696,696,2,,
person,1253,1253,4,,
person,598,598,2,,
person,1010,1010,3,,
person,890,890,1,,
person,707,707,10,,
person,1532,1532,1,,
person,841,841,1,,
person,937,937,1,,
person,889,889,2,,
person,1102,1102,2,,
person,554,554,6,,
person,756,756,2,,
person,768 769,768 769,1,,
person,1573,1573,1,,
person,1117,1117,2,,
person,1358,1358,2,,
person,1138,1138,1,,
person,1073,1073,3,,
person,1339,1339,3,,
person,983,983,1,,
person,1085,1085,3,,
person,1068,1068,2,,
person,1176,1176,5,,
person,1063,1063,1,,
person,899,899,5,,
person,1022,1022,1,,
person,891,891,1,,
person,1107,1107,2,,
person,1131,1131,1,,
person,1403,1403,1,,
person,1126,1126,1,,
person,1114,1114,2,,
person,355,355,1,,
person,956,956,1,,
person,1320,1320,1,,
person,1208,1208,1,,
person,1450,1450,1,,
person,1186,1186,1,,
person,888,888,1,,
person,1044,1044,1,,
person,1019,1019,1,,
person,1391,1391,1,,
person,1256,1256,1,,
person,979,979,1,,
person,881,881,1,,
person,1332,1332,1,,
person,1389,1389,1,,
person,986,986,3,,
person,1108,1108,1,,
person,1431,1431,1,,
person,198,198,1,,
person,905,905,1,,
person,933,933,1,,
person,951,951,3,,
person,954,954,1,,
person,867,867,1,,
person,1128,1128,1,,
person,1338,1338,1,,
person,1202 1203,1202 1203,2,,
person,359,359,1,,
person,615,615,1,,
person,547 172,547 172,1,,
person,31,31,1,,
person,845,845,2,,
person,322,322,2,,
person,98,98,2,,
person,458,458,2,,
person,85,85,2,,
person,1623,1623,1,,
person,445,445,1,,
person,1621,1621,1,,
person,760 761,760 761,1,,
person,321,321,4,,
person,76,76,1,,
person,1115,1115,4,,
person,1052,1052,2,,
person,13 41,13 41,2,,
person,579,579,2,,
person,1342,1342,2,,
person,502,502,1,,
person,582,582,1,,
person,177,177,1,,
person,592,592,1,,
person,593,593,1,,
person,1622,1622,1,,
person,87,87,1,,
person,887,887,1,,
person,363,363,2,,
person,926,926,2,,
person,687,687,2,,
person,398,398,2,,
person,499 501,499 501,1,,
person,501,501,1,,
person,499,499,1,,
person,279,279,1,,
person,1624,1624,1,,
person,1346,1346,1,,
person,872,872,1,,
person,375,375,1,,
person,677,677,2,,
person,1625,1625,1,,
person,611,611,1,,
person,700,700,1,,
person,607,607,1,,
person,877,877,1,,
person,560 561,560 561,1,,
person,1228,1228,1,,
person,874,874,1,,
person,303,303,2,,
person,1295,1295,2,,
person,1333,1333,2,,
person,1008,1008,2,,
person,1336,1336,2,,
person,1393,1393,2,,
person,1395,1395,2,,
person,1327,1327,2,,
person,960,960,2,,
person,1791,1791,1,,
person,436,436,1,,
person,825,825,2,,
person,221,221,1,,
