form,lang,count,per_thousand,stopword
the,nl,627,26.667,no
and,nl,429,18.246,no
to,nl,360,15.311,no
in,nl,355,15.099,no
ik,nl,354,15.056,no
of,nl,304,12.93,no
de,nl,295,12.547,no
i,nl,274,11.654,no
is,nl,272,11.569,no
je,nl,270,11.483,no
van,nl,264,11.228,no
a,nl,254,10.803,no
het,nl,253,10.76,no
you,nl,230,9.782,no
dat,nl,223,9.485,no
that,nl,168,7.145,no
een,nl,165,7.018,no
te,nl,145,6.167,no
t,nl,138,5.869,no
mij,nl,135,5.742,no
it,nl,133,5.657,no
with,nl,116,4.934,no
me,nl,112,4.764,no
as,nl,104,4.423,no
for,nl,104,4.423,no
die,nl,98,4.168,no
was,nl,95,4.04,no
heb,nl,94,3.998,no
maar,nl,94,3.998,no
den,nl,93,3.955,no
voor,nl,93,3.955,no
from,nl,91,3.87,no
er,nl,87,3.7,no
have,nl,85,3.615,no
eens,nl,84,3.573,no
on,nl,83,3.53,no
als,nl,82,3.488,no
met,nl,82,3.488,no
goed,nl,80,3.403,no
naar,nl,80,3.403,no
niet,nl,79,3.36,no
zijn,nl,79,3.36,no
zoo,nl,77,3.275,no
be,nl,75,3.19,no
my,nl,75,3.19,no
en,nl,74,3.147,no
hier,nl,70,2.977,no
nog,nl,69,2.935,no
here,nl,67,2.85,no
i’m,nl,67,2.85,no
so,nl,66,2.807,no
well,nl,66,2.807,no
your,nl,64,2.722,no
op,nl,63,2.679,no
at,nl,61,2.594,no
had,nl,61,2.594,no
but,nl,60,2.552,no
by,nl,60,2.552,no
very,nl,60,2.552,no
vincent,nl,60,2.552,no
we,nl,59,2.509,no
theo,nl,58,2.467,no
wat,nl,58,2.467,no
om,nl,52,2.212,no
wel,nl,52,2.212,no
dan,nl,51,2.169,no
which,nl,51,2.169,no
all,nl,50,2.127,no
about,nl,49,2.084,no
are,nl,49,2.084,no
aan,nl,48,2.042,no
ben,nl,48,2.042,no
how,nl,48,2.042,no
it’s,nl,48,2.042,no
zal,nl,48,2.042,no
ook,nl,47,1.999,no
hebben,nl,46,1.956,no
nu,nl,46,1.956,no
good,nl,45,1.914,no
now,nl,45,1.914,no
c,nl,43,1.829,no
one,nl,43,1.829,no
write,nl,43,1.829,no
bij,nl,42,1.786,no
see,nl,42,1.786,no
wij,nl,42,1.786,no
her,nl,41,1.744,no
this,nl,40,1.701,no
he,nl,39,1.659,no
hij,nl,39,1.659,no
hoe,nl,39,1.659,no
or,nl,39,1.659,no
zeer,nl,39,1.659,no
there,nl,37,1.574,no
beautiful,nl,36,1.531,no
know,nl,36,1.531,no
like,nl,36,1.531,no
things,nl,36,1.531,no
veel,nl,36,1.531,no
will,nl,35,1.489,no
can,nl,34,1.446,no
daar,nl,34,1.446,no
hebt,nl,34,1.446,no
if,nl,34,1.446,no
mr,nl,34,1.446,no
al,nl,33,1.404,no
more,nl,33,1.404,no
much,nl,33,1.404,no
day,nl,32,1.361,no
hague,nl,32,1.361,no
london,nl,32,1.361,no
moet,nl,32,1.361,no
old,nl,32,1.361,no
adieu,nl,31,1.318,no
eene,nl,31,1.318,no
his,nl,31,1.318,no
anna,nl,30,1.276,no
gaat,nl,30,1.276,no
letter,nl,30,1.276,no
she,nl,30,1.276,no
when,nl,30,1.276,no
brief,nl,29,1.233,no
dear,nl,29,1.233,no
hem,nl,29,1.233,no
soon,nl,29,1.233,no
who,nl,29,1.233,no
zou,nl,29,1.233,no
dag,nl,28,1.191,no
der,nl,28,1.191,no
i’ll,nl,28,1.191,no
londen,nl,28,1.191,no
regards,nl,28,1.191,no
they,nl,28,1.191,no
huis,nl,27,1.148,no
mooi,nl,27,1.148,no
not,nl,27,1.148,no
schrijf,nl,27,1.148,no
zien,nl,27,1.148,no
has,nl,26,1.106,no
him,nl,26,1.106,no
last,nl,26,1.106,no
many,nl,26,1.106,no
them,nl,26,1.106,no
wish,nl,26,1.106,no
again,nl,25,1.063,no
go,nl,25,1.063,no
heeft,nl,25,1.063,no
iets,nl,25,1.063,no
men,nl,25,1.063,no
paintings,nl,25,1.063,no
still,nl,25,1.063,no
allen,nl,24,1.021,no
do,nl,24,1.021,no
heel,nl,24,1.021,no
schmidt,nl,24,1.021,no
time,nl,24,1.021,no
waarde,nl,24,1.021,no
evening,nl,23,0.978,no
holland,nl,23,0.978,no
hope,nl,23,0.978,no
mijn,nl,23,0.978,no
oom,nl,23,0.978,no
over,nl,23,0.978,no
reeds,nl,23,0.978,no
spoedig,nl,23,0.978,no
their,nl,23,0.978,no
uncle,nl,23,0.978,no
where,nl,23,0.978,no
zult,nl,23,0.978,no
also,nl,22,0.936,no
hoop,nl,22,0.936,no
must,nl,22,0.936,no
what,nl,22,0.936,no
yet,nl,22,0.936,no
dit,nl,21,0.893,no
gaan,nl,21,0.893,no
ge,nl,21,0.893,no
give,nl,21,0.893,no
i’ve,nl,21,0.893,no
just,nl,21,0.893,no
meer,nl,21,0.893,no
some,nl,21,0.893,no
weer,nl,21,0.893,no
were,nl,21,0.893,no
zij,nl,21,0.893,no
after,nl,20,0.851,no
an,nl,20,0.851,no
door,nl,20,0.851,no
gezien,nl,20,0.851,no
going,nl,20,0.851,no
haag,nl,20,0.851,no
schilderijen,nl,20,0.851,no
think,nl,20,0.851,no
tijd,nl,20,0.851,no
vooral,nl,20,0.851,no
des,nl,19,0.808,no
don’t,nl,19,0.808,no
find,nl,19,0.808,no
glad,nl,19,0.808,no
little,nl,19,0.808,no
pa,nl,19,0.808,no
schrijven,nl,19,0.808,no
toch,nl,19,0.808,no
you’ll,nl,19,0.808,no
zaak,nl,19,0.808,no
already,nl,18,0.766,no
been,nl,18,0.766,no
blij,nl,18,0.766,no
dus,nl,18,0.766,no
get,nl,18,0.766,no
geweest,nl,18,0.766,no
