position,doc,lang,form,lemma,anchor
0,let001,nl,Den,,let001:0.2.0.0.2.0
1,let001,nl,Haag,,let001:0.2.0.0.2.0
2,let001,nl,september,,let001:0.2.0.0.2.0
3,let001,nl,Waarde,,let001:0.2.0.0.5.0
4,let001,nl,Theo,,let001:0.2.0.0.5
5,let001,nl,Dank,,let001:0.2.0.0.7
6,let001,nl,voor,,let001:0.2.0.0.7
7,let001,nl,je,,let001:0.2.0.0.7
8,let001,nl,brief,,let001:0.2.0.0.7
9,let001,nl,het,,let001:0.2.0.0.7
10,let001,nl,deed,,let001:0.2.0.0.7
11,let001,nl,mij,,let001:0.2.0.0.7
12,let001,nl,genoegen,,let001:0.2.0.0.7
13,let001,nl,dat,,let001:0.2.0.0.7
14,let001,nl,je,,let001:0.2.0.0.7
15,let001,nl,weer,,let001:0.2.0.0.7
16,let001,nl,goed,,let001:0.2.0.0.7
17,let001,nl,aangekomen,,let001:0.2.0.0.7
18,let001,nl,zijt,,let001:0.2.0.0.7
19,let001,nl,Ik,,let001:0.2.0.0.7
20,let001,nl,heb,,let001:0.2.0.0.7
21,let001,nl,je,,let001:0.2.0.0.7
22,let001,nl,de,,let001:0.2.0.0.7
23,let001,nl,eerste,,let001:0.2.0.0.7
24,let001,nl,dagen,,let001:0.2.0.0.7
25,let001,nl,ge,,let001:0.2.0.0.7
26,let001,nl,mist,,let001:0.2.0.0.7
27,let001,nl,het,,let001:0.2.0.0.7
28,let001,nl,was,,let001:0.2.0.0.7
29,let001,nl,mij,,let001:0.2.0.0.7
30,let001,nl,vreemd,,let001:0.2.0.0.7
31,let001,nl,je,,let001:0.2.0.0.7
32,let001,nl,niet,,let001:0.2.0.0.7
33,let001,nl,te,,let001:0.2.0.0.7
34,let001,nl,vinden,,let001:0.2.0.0.7
35,let001,nl,als,,let001:0.2.0.0.7
36,let001,nl,ik,,let001:0.2.0.0.7
37,let001,nl,s’mid,,let001:0.2.0.0.7
38,let001,nl,dags,,let001:0.2.0.0.7
39,let001,nl,t’huis,,let001:0.2.0.0.7
40,let001,nl,kwam,,let001:0.2.0.0.7
41,let001,nl,Wij,,let001:0.2.0.0.9
42,let001,nl,hebben,,let001:0.2.0.0.9
43,let001,nl,prettige,,let001:0.2.0.0.9
44,let001,nl,dagen,,let001:0.2.0.0.9
45,let001,nl,sa,,let001:0.2.0.0.9
46,let001,nl,men,,let001:0.2.0.0.9
47,let001,nl,gehad,,let001:0.2.0.0.9
48,let001,nl,en,,let001:0.2.0.0.9
49,let001,nl,tusschen,,let001:0.2.0.0.9
50,let001,nl,de,,let001:0.2.0.0.9
51,let001,nl,droppeltjes,,let001:0.2.0.0.9
52,let001,nl,door,,let001:0.2.0.0.9
53,let001,nl,toch,,let001:0.2.0.0.9
54,let001,nl,nog,,let001:0.2.0.0.9
55,let001,nl,al,,let001:0.2.0.0.9
56,let001,nl,eens,,let001:0.2.0.0.9
57,let001,nl,gewandeld,,let001:0.2.0.0.9
58,let001,nl,het,,let001:0.2.0.0.9
59,let001,nl,een,,let001:0.2.0.0.9
60,let001,nl,en,,let001:0.2.0.0.9
61,let001,nl,ander,,let001:0.2.0.0.9
62,let001,nl,gezien,,let001:0.2.0.0.9
63,let001,nl,Wat,,let001:0.2.0.0.11
64,let001,nl,vreesselijk,,let001:0.2.0.0.11
65,let001,nl,weer,,let001:0.2.0.0.11
66,let001,nl,je,,let001:0.2.0.0.11
67,let001,nl,zult,,let001:0.2.0.0.11
68,let001,nl,het,,let001:0.2.0.0.11
69,let001,nl,wel,,let001:0.2.0.0.11
70,let001,nl,benauwd,,let001:0.2.0.0.11.1
71,let001,nl,hebben,,let001:0.2.0.0.11
72,let001,nl,op,,let001:0.2.0.0.11
73,let001,nl,je,,let001:0.2.0.0.11
74,let001,nl,wandelingen,,let001:0.2.0.0.11
75,let001,nl,naar,,let001:0.2.0.0.11
76,let001,nl,Ois,,let001:0.2.0.0.11
77,let001,nl,ter,,let001:0.2.0.0.11.4
78,let001,nl,wijk,,let001:0.2.0.0.11
79,let001,nl,Gisteren,,let001:0.2.0.0.11
80,let001,nl,is,,let001:0.2.0.0.11
81,let001,nl,het,,let001:0.2.0.0.11
82,let001,nl,hard,,let001:0.2.0.0.11
83,let001,nl,draverij,,let001:0.2.0.0.11
84,let001,nl,geweest,,let001:0.2.0.0.11
85,let001,nl,ter,,let001:0.2.0.0.11
86,let001,nl,gelegenheid,,let001:0.2.0.0.11
87,let001,nl,van,,let001:0.2.0.0.11
88,let001,nl,de,,let001:0.2.0.0.11
89,let001,nl,tentoonstelling,,let001:0.2.0.0.11
90,let001,nl,maar,,let001:0.2.0.0.11
91,let001,nl,de,,let001:0.2.0.0.11
92,let001,nl,illumi,,let001:0.2.0.0.11
93,let001,nl,natie,,let001:0.2.0.0.11
94,let001,nl,het,,let001:0.2.0.0.11
95,let001,nl,vuurwerk,,let001:0.2.0.0.11
96,let001,nl,zijn,,let001:0.2.0.0.11
97,let001,nl,uit,,let001:0.2.0.0.11
98,let001,nl,gesteld,,let001:0.2.0.0.11
99,let001,nl,om,,let001:0.2.0.0.11
100,let001,nl,het,,let001:0.2.0.0.11
101,let001,nl,slechte,,let001:0.2.0.0.11
102,let001,nl,weer,,let001:0.2.0.0.11
103,let001,nl,het,,let001:0.2.0.0.11
